        Common Core of Data Public Education Agency Universe 1996-97
                             (LRECL=1030)

             (*) Fields have one implied decimal place.

	     (+) Fields represent sub-fields of the fields immediately 
	      preceding them.  
          
**Please Note: "FIPS" stands for Federal Information Processing Standard (see State Codes
  and Abbreviations in the General Documentation)   
                                  
The file contains  data for school year 1996-97 sorted by the NCES assigned local
education agency identification code (LEAID).

Variable     Field	Record	     Data
 name	     length	position     type	Description

DWH9U96		5	472-476		N	DROPOUTS (WHITE-9TH-UNKNOWN)
DUK9M96		5	477-481		N	DROPOUTS (UNKNOWN-9TH-MALE)
DUK9F96		5	482-486		N	DROPOUTS (UNKNOWN-9TH-FEMALE)
DUK9U96		5	487-491		N	DROPOUTS (UNKNOWN-9TH-UNKNOWN)
DAM10M96	5	492-496		N	DROPOUTS (AMER IND/ALAS NAT-10TH-MALE)
DAM10F96	5	497-501		N	DROPOUTS (AMER IND/ALAS NAT-10TH-FEMALE)
DAM10U96	5	502-506		N	DROPOUTS (AMER IND/ALAS NAT-10TH-UNK)
DAS10M96	5	507-511		N	DROPOUTS (ASIAN/PAC ISL-10TH-MALE)
DAS10F96	5	512-516		N	DROPOUTS (ASIAN/PAC ISL-10TH-FEMALE)
DAS10U96	5	517-521		N	DROPOUTS (ASIAN/PAC ISL-10TH-UNKNOWN)
DHI10M96	5	522-526		N	DROPOUTS (HISPANIC-10TH-MALE)
DHI10F96	5	527-531		N	DROPOUTS (HISPANIC-10TH-FEMALE)
DHI10U96	5	532-536		N	DROPOUTS (HISPANIC-10TH-UNKNOWN)
DBL10M96	5	537-541		N	DROPOUTS (BLACK-10TH-MALE)
DBL10F96	5	542-546		N	DROPOUTS (BLACK-10TH-FEMALE)
DBL10U96	5	547-551		N	DROPOUTS (BLACK-10TH-UNKNOWN)
DWH10M96	5	552-556		N	DROPOUTS (WHITE-10TH-MALE)
DWH10F96	5	557-561		N	DROPOUTS (WHITE-10TH-FEMALE)
DWH10U96	5	562-566		N	DROPOUTS (WHITE-10TH-UNKNOWN)
DUK10M96	5	567-571		N	DROPOUTS (UNKNOWN-10TH-MALE)
DUK10F96	5	572-576		N	DROPOUTS (UNKNOWN-10TH-FEMALE)
DUK10U96	5	577-581		N	DROPOUTS (UNKNOWN-10TH-UNKNOWN)
DAM11M96	5	582-586		N	DROPOUTS (AMER IND/ALAS NAT-11TH-MALE)
DAM11F96	5	587-591		N	DROPOUTS (AMER IND/ALAS NAT-11TH-FEMALE)
DAM11U96	5	592-596		N	DROPOUTS (AMER IND/ALAS NAT-11TH-UNK)
DAS11M96	5	597-601		N	DROPOUTS (ASIAN/PAC ISL-11TH-MALE)
