LEAID,grade,year,M,H,Dis,D,G,G_year,unit_id,P_white_white,P_white_nonwhite,P_nonwhite_white,n_sch,charter_percent,loc,pupteach,sec_teach_pct,sec_counselor_pct,prop_tax_share,enrollment,inst_pp_tcur,support_pp,current_pp,total_rev_pp,core_exp_pp,avg_sch_size
4808940,11,2006,0.16940222884693612,0.1524053707703569,0.4518503785549225,0,0,0,190,0.538293258267486,0.461706741732514,0.3034936639907795,116,0,NA,14.4,34.75612957421116,NA,72.67217831518374,82140,4691,3132,8182,11699,7823,708.1034482758621
4808940,12,2006,0.16841074118239707,0.14767718459024962,0.4317102137767221,0,0,0,191,0.5322100462127572,0.4677899537872427,0.31185996919149517,116,0,NA,14.4,34.75612957421116,NA,72.67217831518374,82140,4691,3132,8182,11699,7823,708.1034482758621
4808940,9,2007,0.1972341655332996,0.1842373505719732,0.5296689822454698,0,0,0,192,0.4744301074657259,0.5255698925342741,0.20971418062465147,119,0,NA,14.1,33.121990506708705,NA,62.975252786084575,82564,5156,3501,9035,11750,8657,693.8151260504202
4808940,10,2007,0.18618774804978025,0.16981572910348344,0.4834220470219669,0,0,0,189,0.48532014634953513,0.5146798536504649,0.2506859178934916,119,0,NA,14.1,33.121990506708705,NA,62.975252786084575,82564,5156,3501,9035,11750,8657,693.8151260504202
4808940,11,2007,0.1959032271426877,0.1751491309351878,0.4793541454135345,0,0,0,190,0.5118482482500917,0.4881517517499084,0.2714183943439881,119,0,NA,14.1,33.121990506708705,NA,62.975252786084575,82564,5156,3501,9035,11750,8657,693.8151260504202
4808940,12,2007,0.19310686207880423,0.17364435200049916,0.4715438729348931,0,0,0,191,0.5465406816245825,0.45345931837541753,0.2944223272185715,119,0,NA,14.1,33.121990506708705,NA,62.975252786084575,82564,5156,3501,9035,11750,8657,693.8151260504202
4808940,9,2008,0.18500430488708744,0.17362140156221717,0.5112843944256952,0,0,0,192,0.4491896625815546,0.5508103374184453,0.20969812132949947,120,0,NA,14.2,33.49801364979118,NA,65.64450228277133,83483,5376,3615,9389,12785,8991,695.6916666666667
4808940,10,2008,0.19983623968804112,0.1796193086767141,0.5064589437393231,0,0,0,189,0.4999577644411224,0.5000422355588776,0.2470920629301153,120,0,NA,14.2,33.49801364979118,NA,65.64450228277133,83483,5376,3615,9389,12785,8991,695.6916666666667
4808940,11,2008,0.18896770995099343,0.17055915164849483,0.4737252239762112,0,0,0,190,0.49891771100625226,0.5010822889937477,0.2653288511259295,120,0,NA,14.2,33.49801364979118,NA,65.64450228277133,83483,5376,3615,9389,12785,8991,695.6916666666667
4808940,12,2008,0.191814297207675,0.17032350771038576,0.4697938789949287,0,0,0,191,0.5028634513639499,0.49713654863605006,0.27326275052218774,120,0,NA,14.2,33.49801364979118,NA,65.64450228277133,83483,5376,3615,9389,12785,8991,695.6916666666667
4808940,9,2009,0.1908328294956581,0.17867560566522864,0.5164387606499479,0,0,0,192,0.4490147946937381,0.5509852053062618,0.21241554694458617,122,0,NA,14.17,33.93717179357594,NA,69.11635234697188,84676,5558,3544,9498,12488,9102,694.0655737704918
4808940,10,2009,0.18231784422851435,0.1646103984831701,0.4832969049709641,0,0,0,189,0.47476148663320394,0.5252385133667961,0.247060688037969,122,0,NA,14.17,33.93717179357594,NA,69.11635234697188,84676,5558,3544,9498,12488,9102,694.0655737704918
4808940,11,2009,0.1987899186688198,0.17590985654931737,0.4973499419386763,0,0,0,190,0.5048029250046866,0.49519707499531335,0.2587604327385843,122,0,NA,14.17,33.93717179357594,NA,69.11635234697188,84676,5558,3544,9498,12488,9102,694.0655737704918
4808940,12,2009,0.1847319677844692,0.16515235388108754,0.4679330174905396,0,0,0,191,0.49503741721977673,0.5049625827802232,0.2689733353394994,122,0,NA,14.17,33.93717179357594,NA,69.11635234697188,84676,5558,3544,9498,12488,9102,694.0655737704918
4808940,9,2010,0.17776740941766028,0.15993971715309524,0.4998759285038193,0,0,0,192,0.4236800716214041,0.5763199283785959,0.20313243483466825,124,0,NA,14.06,34.49279738480575,NA,66.49804890371095,85697,5510,3516,9432,12796,9026,691.1048387096774
4808940,10,2010,0.18120415567155168,0.15876270792006972,0.4949907731730924,0,0,0,189,0.4502155758951882,0.5497844241048119,0.23329083408972912,124,0,NA,14.06,34.49279738480575,NA,66.49804890371095,85697,5510,3516,9432,12796,9026,691.1048387096774
4808940,11,2010,0.1815461056390498,0.1569970847475988,0.4877261632368208,0,0,0,190,0.4596104233412766,0.5403895766587233,0.24047168234160715,124,0,NA,14.06,34.49279738480575,NA,66.49804890371095,85697,5510,3516,9432,12796,9026,691.1048387096774
4808940,12,2010,0.18666142175419287,0.15819950511327632,0.48659747414586607,0,0,0,191,0.4696830466492155,0.5303169533507844,0.24303441946835452,124,0,NA,14.06,34.49279738480575,NA,66.49804890371095,85697,5510,3516,9432,12796,9026,691.1048387096774
4808940,9,2011,0.1806289115077196,0.1636543857122358,0.5251875280935301,0,0,0,192,0.4241351728496403,0.5758648271503597,0.19500540652976656,122,0,NA,15.03,34.93754298695975,NA,69.51061668446938,86528,5145,3343,8880,12367,8488,709.2459016393443
4808940,10,2011,0.18207808739180636,0.158608202948113,0.497769164952816,0,0,0,189,0.4501077610228841,0.5498922389771159,0.2250743101302266,122,0,NA,15.03,34.93754298695975,NA,69.51061668446938,86528,5145,3343,8880,12367,8488,709.2459016393443
4808940,11,2011,0.178421230695512,0.1529522484950178,0.49660802135666104,0,0,0,190,0.4549592659915702,0.5450407340084298,0.23389805475926811,122,0,NA,15.03,34.93754298695975,NA,69.51061668446938,86528,5145,3343,8880,12367,8488,709.2459016393443
4808940,12,2011,0.1645405891721859,0.14154937073300208,0.460201249211652,0,0,0,191,0.4483398027065253,0.5516601972934747,0.24605822725130053,122,0,NA,15.03,34.93754298695975,NA,69.51061668446938,86528,5145,3343,8880,12367,8488,709.2459016393443
4808940,9,2012,0.1965171676053648,0.17768003184025505,0.5352897130562292,0,0,0,192,0.44010044722322567,0.5598995527767743,0.20079768736874348,129,3.10077519379845,NA,14.68,34.247618982979525,NA,73.29404442960254,86516,5522,3543,9484,12184,9065,670.6666666666666
4808940,10,2012,0.1801382767522554,0.1597402833050423,0.4992971515700701,0,0,0,189,0.43000973093084693,0.5699902690691531,0.21714646810318505,129,3.10077519379845,NA,14.68,34.247618982979525,NA,73.29404442960254,86516,5522,3543,9484,12184,9065,670.6666666666666
4808940,11,2012,0.1767606222322002,0.1524669168558691,0.486399712863803,0,0,0,190,0.4549204583616358,0.5450795416383641,0.23101844686019865,129,3.10077519379845,NA,14.68,34.247618982979525,NA,73.29404442960254,86516,5522,3543,9484,12184,9065,670.6666666666666
4808940,12,2012,0.17896915165470997,0.15434408479956982,0.4839529143564083,0,0,0,191,0.4516394400777905,0.5483605599222094,0.2374467702740559,129,3.10077519379845,NA,14.68,34.247618982979525,NA,73.29404442960254,86516,5522,3543,9484,12184,9065,670.6666666666666
4808940,9,2013,0.1784164681810506,0.1650342987015006,0.5369070022982044,0,0,0,192,0.4243727988991291,0.5756272011008708,0.19317835239479328,128,2.34375,NA,14.47,38.12503178343193,NA,78.23594134211805,85372,5624,3610,9661,12466,9234,666.96875
4808940,10,2013,0.18710483997619728,0.16802047941673975,0.5221132801839292,0,0,0,189,0.45322227318495273,0.5467777268150472,0.21978891576023077,128,2.34375,NA,14.47,38.12503178343193,NA,78.23594134211805,85372,5624,3610,9661,12466,9234,666.96875
4808940,11,2013,0.1833036737546185,0.15940733685253883,0.4997646007183385,0,0,0,190,0.4467986897536495,0.5532013102463506,0.22736327253215535,128,2.34375,NA,14.47,38.12503178343193,NA,78.23594134211805,85372,5624,3610,9661,12466,9234,666.96875
