      Common Core of Data Public Education Agency Universe 1992-93
                            (LRECL=1030)
            
	     (*) Fields have one implied decimal place.

	     (+) Fields represent sub-fields of the fields immediately 
	      preceding them.  
          
**Please Note: "FIPS" stands for Federal Information Processing Standard (see State Codes
  and Abbreviations in the General Documentation) 
                                    
The file contains  data for school year 1992-93 sorted by the NCES assigned local
education agency identification code (LEAID).

Name    Type   Position       Size          Description
DBL9M92    N   447-451          5            DROPOUTS (BLACK-9TH-MALE)
DBL9F92    N   452-456          5            DROPOUTS (BLACK-9TH-FEMALE)
DBL9U92    N   457-461          5            DROPOUTS (BLACK-9TH-UNKNOWN)
DWH9M92    N   462-466          5            DROPOUTS (WHITE-9TH-MALE)
DWH9F92    N   467-471          5            DROPOUTS (WHITE-9TH-FEMALE)
DWH9U92    N   472-476          5            DROPOUTS (WHITE-9TH-UNKNOWN)
DUK9M92    N   477-481          5            DROPOUTS (UNKNOWN-9TH-MALE)
DUK9F92    N   482-486          5            DROPOUTS (UNKNOWN-9TH-FEMALE)
DUK9U92    N   487-491          5            DROPOUTS (UNKNOWN-9TH-UNKNOWN)
DAM10M92   N   492-496          5            DROPOUTS (AMER IND/ALAS NAT-10TH-MALE)
DAM10F92   N   497-501          5            DROPOUTS (AMER IND/ALAS NAT-10TH-FEMALE)
DAM10U92   N   502-506          5            DROPOUTS (AMER IND/ALAS NAT-10TH-UNK)
DAS10M92   N   507-511          5            DROPOUTS (ASIAN/PAC ISL-10TH-MALE)
DAS10F92   N   512-516          5            DROPOUTS (ASIAN/PAC ISL-10TH-FEMALE)
DAS10U92   N   517-521          5            DROPOUTS (ASIAN/PAC ISL-10TH-UNKNOWN)
DHI10M92   N   522-526          5            DROPOUTS (HISPANIC-10TH-MALE)
DHI10F92   N   527-531          5            DROPOUTS (HISPANIC-10TH-FEMALE)
DHI10U92   N   532-536          5            DROPOUTS (HISPANIC-10TH-UNKNOWN)
DBL10M92   N   537-541          5            DROPOUTS (BLACK-10TH-MALE)
DBL10F92   N   542-546          5            DROPOUTS (BLACK-10TH-FEMALE)
DBL10U92   N   547-551          5            DROPOUTS (BLACK-10TH-UNKNOWN)
DWH10M92   N   552-556          5            DROPOUTS (WHITE-10TH-MALE)
DWH10F92   N   557-561          5            DROPOUTS (WHITE-10TH-FEMALE)
DWH10U92   N   562-566          5            DROPOUTS (WHITE-10TH-UNKNOWN)
DUK10M92   N   567-571          5            DROPOUTS (UNKNOWN-10TH-MALE)
DUK10F92   N   572-576          5            DROPOUTS (UNKNOWN-10TH-FEMALE)
DUK10U92   N   577-581          5            DROPOUTS (UNKNOWN-10TH-UNKNOWN)
DAM11M92   N   582-586          5            DROPOUTS (AMER IND/ALAS NAT-11TH-MALE)
DAM11F92   N   587-591          5            DROPOUTS (AMER IND/ALAS NAT-11TH-FEMALE)
DAM11U92   N   592-596          5            DROPOUTS (AMER IND/ALAS NAT-11TH-UNK)
DAS11M92   N   597-601          5            DROPOUTS (ASIAN/PAC ISL-11TH-MALE)
DAS11F92   N   602-606          5            DROPOUTS (ASIAN/PAC ISL-11TH-FEMALE)
DAS11U92   N   607-611          5            DROPOUTS (ASIAN/PAC ISL-11TH-UNKNOWN)
DHI11M92   N   612-616          5            DROPOUTS (HISPANIC-11TH-MALE)
DHI11F92   N   617-621          5            DROPOUTS (HISPANIC-11TH-FEMALE)
DHI11U92   N   622-626          5            DROPOUTS (HISPANIC-11TH-UNKNOWN)
DBL11M92   N   627-631          5            DROPOUTS (BLACK-11TH-MALE)
DBL11F92   N   632-636          5            DROPOUTS (BLACK-11TH-FEMALE)
DBL11U92   N   637-641          5            DROPOUTS (BLACK-11TH-UNKNOWN)
DWH11M92   N   642-646          5            DROPOUTS (WHITE-11TH-MALE)
DWH11F92   N   647-651          5            DROPOUTS (WHITE-11TH-FEMALE)
DWH11U92   N   652-656          5            DROPOUTS (WHITE-11TH-UNKNOWN)
DUK11M92   N   657-661          5            DROPOUTS (UNKNOWN-11TH-MALE)
DUK11F92   N   662-666          5            DROPOUTS (UNKNOWN-11TH-FEMALE)
DUK11U92   N   667-671          5            DROPOUTS (UNKNOWN-11TH-UNKNOWN)
DAM12M92   N   672-676          5            DROPOUTS (AMER IND/ALAS NAT-12TH-MALE)
DAM12F92   N   677-681          5            DROPOUTS (AMER IND/ALAS NAT-12TH-FEMALE)
DAM12U92   N   682-686          5            DROPOUTS (AMER IND/ALAS NAT-12TH-UNK)
DAS12M92   N   687-691          5            DROPOUTS (ASIAN/PAC ISL-12TH-MALE)
DAS12F92   N   692-696          5            DROPOUTS (ASIAN/PAC ISL-12TH-FEMALE)
DAS12U92   N   697-701          5            DROPOUTS (ASIAN/PAC ISL-12TH-UNKNOWN)
DHI12M92   N   702-706          5            DROPOUTS (HISPANIC-12TH-MALE)
DHI12F92   N   707-711          5            DROPOUTS (HISPANIC-12TH-FEMALE)
DHI12U92   N   712-716          5            DROPOUTS (HISPANIC-12TH-UNKNOWN)
DBL12M92   N   717-721          5            DROPOUTS (BLACK-12TH-MALE)
DBL12F92   N   722-726          5            DROPOUTS (BLACK-12TH-FEMALE)
DBL12U92   N   727-731          5            DROPOUTS (BLACK-12TH-UNKNOWN)
DWH12M92   N   732-736          5            DROPOUTS (WHITE-12TH-MALE)
DWH12F92   N   737-741          5            DROPOUTS (WHITE-12TH-FEMALE)
DWH12U92   N   742-746          5            DROPOUTS (WHITE-12TH-UNKNOWN)
DUK12M92   N   747-751          5            DROPOUTS (UNKNOWN-12TH-MALE)
DUK12F92   N   752-756          5            DROPOUTS (UNKNOWN-12TH-FEMALE)
DUK12U92   N   757-761          5            DROPOUTS (UNKNOWN-12TH-UNKNOWN)
PKTCH92    N   762-768         *7            PREKINDERGARTEN TEACHERS (FTE)
KGTCH92    N   769-775         *7            KINDERGARTEN TEACHERS (FTE)
