"NCESSCH","LEAID","TYPE","STATUS","ULOCAL","FTE","LEVEL","FRELCH","REDLCH","TOTFRL","MEMBER","G09","G10","G11","G12","AM09","AS09","HI09","BL09","WH09","HP09","TR09","AM10","AS10","HI10","BL10","WH10","HP10","TR10","AM11","AS11","HI11","BL11","WH11","HP11","TR11","AM12","AS12","HI12","BL12","WH12","HP12","TR12","ASIAN","HISP","BLACK","WHITE"
"010039000073","0100390","3","1","12",0,"3",NA,NA,NA,0,NA,0,0,0,-4,-4,-4,-4,-4,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-4,-4
"010039000138","0100390","4","1","12",0,"3",NA,NA,NA,0,NA,0,0,0,-4,-4,-4,-4,-4,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-4,-4
"010039000141","0100390","1","1","12",67.9,"3",892,62,954,1119,350,238,286,245,0,0,5,336,9,0,0,0,2,4,229,3,0,0,0,1,9,270,4,0,2,0,0,0,240,5,0,0,3,18,1075,21
"010039000164","0100390","1","1","12",79,"3",1001,69,1070,1167,363,329,254,220,0,0,5,358,0,0,0,0,0,7,322,0,0,0,0,0,2,251,1,0,0,0,0,1,219,0,0,0,0,15,1150,1
"010039000165","0100390","1","1","12",49.5,"3",752,34,786,857,316,172,161,208,0,0,1,312,0,0,3,0,0,0,169,3,0,0,0,0,1,160,0,0,0,0,0,0,208,0,0,0,0,2,849,3
"010039000176","0100390","1","1","12",44,"3",370,79,449,736,189,128,220,199,0,1,2,185,1,0,0,0,1,0,124,3,0,0,0,1,1,216,2,0,0,0,0,1,197,1,0,0,3,4,722,7
"010039000192","0100390","1","1","12",60,"3",692,50,742,850,187,241,203,219,0,1,1,184,1,0,0,0,0,0,239,2,0,0,0,0,0,202,0,0,1,1,0,0,218,0,0,0,1,1,843,3
"010039000194","0100390","1","1","12",0,"3",NA,NA,NA,0,NA,0,0,0,-4,-4,-4,-4,-4,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-4,-4
"010039000198","0100390","1","1","12",57.6,"3",883,30,913,956,225,252,250,229,0,0,6,217,1,0,1,0,0,10,240,1,0,1,0,0,9,239,2,0,0,0,0,6,223,0,0,0,0,31,919,4
"010039001281","0100390","4","1","12",0,"3",NA,NA,NA,0,NA,0,0,0,-4,-4,-4,-4,-4,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-4,-4
"010039001288","0100390","4","1","12",0,"4",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010039001296","0100390","2","1","12",NA,"4",0,0,0,3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1
"010039001316","0100390","3","1","12",0,"3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010039001468","0100390","1","1","12",63.5,"3",810,42,852,930,196,265,251,218,0,1,11,180,4,0,0,0,1,15,245,3,1,0,0,0,13,237,1,0,0,0,2,6,210,0,0,0,4,45,872,8
"010039001629","0100390","2","1","12",0,"3",NA,NA,NA,0,NA,0,0,0,-4,-4,-4,-4,-4,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-4,-4
"010039001746","0100390","4","1","12",0,"3",NA,NA,NA,0,NA,0,0,0,-4,-4,-4,-4,-4,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-4,-4
"010039001761","0100390","4","1","12",0,"3",NA,NA,NA,0,NA,0,0,0,-4,-4,-4,-4,-4,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-4,-4
"010039001765","0100390","2","1","12",0,"3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010039001866","0100390","4","1","12",0,"4",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010237000898","0102370","1","1","12",42.5,"3",594,27,621,694,224,172,140,158,0,0,6,210,8,0,0,0,1,4,159,8,0,0,1,1,2,132,4,0,0,1,1,3,146,7,0,0,3,15,647,27
"010237000899","0102370","1","1","21",119,"3",851,119,970,2321,705,548,550,518,4,17,14,209,456,0,5,2,17,13,172,342,0,2,0,16,18,149,365,0,2,2,12,15,146,342,0,1,62,60,676,1505
"010237000900","0102370","1","1","21",72,"3",1016,67,1083,1213,367,321,257,266,0,0,1,362,4,0,0,1,0,1,318,1,0,0,0,1,1,254,1,0,0,2,0,0,261,3,0,0,1,3,1195,9
"010237000906","0102370","1","1","42",47.06,"3",511,51,562,785,239,207,173,166,36,1,1,76,125,0,0,42,0,6,46,113,0,0,40,1,2,29,101,0,0,29,0,2,39,96,0,0,2,11,190,435
"010237000912","0102370","1","1","12",95,"3",901,98,999,1591,537,419,318,317,1,33,25,367,110,0,1,1,29,18,279,91,0,1,1,14,11,207,84,0,1,0,30,9,182,95,0,1,106,63,1035,380
"010237000929","0102370","1","1","12",0,"3",NA,NA,NA,0,NA,NA,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-8,-8,-8
"010237000934","0102370","1","1","41",106,"3",944,150,1094,1943,628,487,418,410,9,3,8,80,527,0,1,3,4,8,79,391,0,2,2,2,12,59,342,0,1,1,3,5,68,333,0,0,12,33,286,1593
"010237000942","0102370","1","1","12",130,"3",1397,109,1506,2285,693,578,524,490,0,15,10,519,147,1,1,1,15,15,391,154,0,2,1,17,6,315,184,0,1,0,11,14,313,152,0,0,58,45,1538,637
"010237000953","0102370","1","1","21",47,"3",267,55,322,691,177,186,171,157,2,0,0,30,145,0,0,1,0,0,38,147,0,0,1,0,3,34,133,0,0,3,1,1,20,132,0,0,1,4,122,557
"010237000962","0102370","1","1","12",56,"3",737,37,774,921,289,217,191,224,1,0,0,288,0,0,0,0,0,0,215,2,0,0,0,0,2,187,1,0,1,0,0,0,222,2,0,0,0,2,912,5
"010237000964","0102370","1","1","21",46,"3",716,22,738,822,274,180,169,199,0,0,0,271,3,0,0,0,0,0,179,1,0,0,0,0,0,169,0,0,0,0,0,1,197,1,0,0,0,1,816,5
"010237000969","0102370","1","1","12",55.5,"3",695,18,713,779,227,173,189,190,1,0,2,223,1,0,0,2,0,0,170,1,0,0,1,0,0,186,2,0,0,0,0,1,187,2,0,0,0,3,766,6
