"LEAID","NCESSCH","TR10","AM10","AS10","BL10","HI10","HP10","WH10","TR11","AM11","AS11","BL11","HI11","HP11","WH11","TR12","AM12","AS12","BL12","HI12","HP12","WH12","TR09","AM09","AS09","BL09","HI09","HP09","WH09","total_g10","total_g11","total_g12","total_g9","total_enroll","FRELCH","REDLCH","TOTFRL","rate_frelch","rate_redlch","rate_totfrl","lunch_total"
"1709930","170993002618",0,0,1,24,101,0,1,0,0,0,21,58,0,2,0,1,0,21,40,0,0,3,0,0,11,192,0,0,127,81,62,206,476,750,0,750,1.57563025210084,0,1.57563025210084,750
"1709930","170993003450",4,0,0,338,10,0,1,2,1,1,311,19,0,3,2,0,3,292,22,0,4,5,0,2,384,12,1,1,353,337,323,405,1418,1679,0,1679,1.18406205923836,0,1.18406205923836,1679
"1709930","170993003473",15,4,5,1207,411,1,17,5,2,2,757,256,2,10,5,3,4,610,270,1,15,-4,-4,-4,-4,-4,-4,-4,1660,1034,908,-28,3574,3497,0,3497,0.978455512031337,0,0.978455512031337,3497
"1709930","170993003474",1,0,0,204,1,0,0,0,0,0,197,0,0,0,1,0,0,162,2,0,0,0,0,0,237,0,0,0,206,197,165,237,805,777,0,777,0.965217391304348,0,0.965217391304348,777
"1709930","170993003479",18,5,36,1342,1502,1,40,10,7,21,1013,1158,0,21,14,6,27,839,1002,1,18,16,12,26,2060,1826,3,27,2944,2230,1907,3970,11051,10204,0,10204,0.923355352456791,0,0.923355352456791,10204
"1709930","170993003481",20,0,46,20,71,0,89,38,0,50,23,75,0,83,22,0,45,27,66,0,91,52,2,59,21,88,0,68,246,269,251,290,1056,432,0,432,0.409090909090909,0,0.409090909090909,432
"1709930","170993003487",0,0,0,74,20,0,2,0,0,0,50,13,0,1,1,1,0,78,27,0,1,0,0,0,40,15,0,1,96,64,108,56,324,294,0,294,0.907407407407407,0,0.907407407407407,294
"1709930","170993003505",5,2,38,317,135,1,65,9,3,28,248,138,3,39,4,0,32,223,118,1,37,9,0,46,340,141,1,44,563,468,415,581,2027,7280,0,7280,3.59151455352738,0,3.59151455352738,7280
"1709930","170993003539",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,51,0,0,0,-4,-4,-4,-4,-4,-4,-4,-28,-28,51,-28,-33,597,0,597,NA,NA,NA,597
"1709930","170993003542",1,0,0,100,0,0,0,1,0,0,84,0,1,0,0,0,0,84,2,0,0,0,0,0,131,3,0,0,101,86,86,134,407,1485,0,1485,3.64864864864865,0,3.64864864864865,1485
"1709930","170993003555",0,3,2,20,401,0,6,0,1,2,13,349,0,4,0,1,0,0,154,1,2,1,2,2,23,407,0,5,432,369,158,440,1399,7509,0,7509,5.36740528949249,0,5.36740528949249,7509
"1709930","170993003570",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-28,-28,-28,-28,-112,179,0,179,NA,NA,NA,179
"1709930","170993003981",0,0,0,74,4,0,1,0,0,0,64,5,0,1,1,0,0,46,4,0,1,1,0,0,126,6,0,1,79,70,52,134,335,303,0,303,0.904477611940299,0,0.904477611940299,303
"1709930","170993003989",12,1,41,31,44,0,96,9,1,24,36,58,0,103,6,1,27,35,43,0,88,16,2,42,22,46,1,102,225,231,200,231,887,273,0,273,0.307779030439684,0,0.307779030439684,273
"1709930","170993004266",0,0,0,46,1,0,2,0,0,0,36,4,0,0,0,0,0,54,3,0,0,0,0,0,41,7,0,1,49,40,57,49,195,195,0,195,1,0,1,195
"1709930","170993004383",0,0,0,5,3,0,3,0,0,0,18,7,0,0,0,0,0,14,3,0,0,0,0,0,8,2,0,0,11,25,17,10,63,66,0,66,1.04761904761905,0,1.04761904761905,66
"1709930","170993004715",0,1,1,33,95,0,1,1,0,0,26,95,0,0,0,0,0,25,79,0,0,1,0,1,41,120,0,0,131,122,104,163,520,501,0,501,0.963461538461538,0,0.963461538461538,501
"1709930","170993005051",0,0,0,80,12,0,1,0,0,0,90,14,0,1,0,0,0,90,16,0,1,1,0,0,107,18,0,2,93,105,107,128,433,422,0,422,0.97459584295612,0,0.97459584295612,422
"1709930","170993005061",2,0,7,22,81,0,29,2,0,6,17,82,0,21,2,0,8,11,70,0,34,3,0,4,26,79,1,35,141,128,125,148,542,444,0,444,0.819188191881919,0,0.819188191881919,444
"1709930","170993005072",1,1,0,70,19,0,0,0,0,0,65,21,0,0,1,0,0,57,18,0,1,0,0,0,64,19,0,0,91,86,77,83,337,329,0,329,0.976261127596439,0,0.976261127596439,329
"1709930","170993005074",2,1,0,32,199,0,2,0,2,1,16,208,0,0,0,1,1,24,216,0,0,1,0,0,49,214,0,2,236,227,242,266,971,928,0,928,0.955715756951596,0,0.955715756951596,928
"1709930","170993005075",0,0,1,116,3,0,0,0,0,0,97,5,1,0,0,0,0,116,10,0,0,0,0,0,122,3,0,0,120,103,126,125,474,465,0,465,0.981012658227848,0,0.981012658227848,465
"1709930","170993005076",0,0,0,157,0,0,0,0,0,0,116,0,0,0,0,0,0,93,0,0,0,0,0,0,154,1,0,0,157,116,93,155,521,492,0,492,0.944337811900192,0,0.944337811900192,492
"1709930","170993005078",4,1,6,22,148,0,23,1,1,5,14,68,0,6,0,1,7,14,104,0,13,3,0,7,15,102,0,13,204,95,139,140,578,499,0,499,0.863321799307958,0,0.863321799307958,499
