"LEAID","NCESSCH","TYPE06","STATUS06","FTE06","LEVEL06","FRELCH06","REDLCH06","TOTFRL06","MIGRNT06","MEMBER06","G0906","G1006","G1106","G1206","ASIAN06","HISP06","BLACK06","WHITE06","TOTETH06","PUPTCH06","LOCALE","AM09","AS09","HI09","BL09","WH09","AM10","AS10","HI10","BL10","WH10","AM11","AS11","HI11","BL11","WH11","AM12","AS12","HI12","BL12","WH12"
"0100390","010039000073","3","1",0,"3",0,0,0,-1,1,0,0,0,1,0,0,1,0,1,-1,"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"0100390","010039000122","1","2",-2,"N",-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"12",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"0100390","010039000134","1","1",56.3,"3",552,50,602,-1,784,273,195,162,154,8,40,725,11,784,13.9,"12",0,2,13,253,5,0,2,11,179,3,0,2,5,154,1,0,2,11,139,2
"0100390","010039000138","4","1",0,"3",-2,-2,-2,-1,0,0,0,0,0,0,0,0,0,0,-1,"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039000141","1","1",81,"3",596,96,692,-1,1347,490,295,275,287,3,2,1309,33,1347,16.6,"12",0,0,1,476,13,0,0,1,285,9,0,3,0,268,4,0,0,0,280,7
"0100390","010039000164","1","1",89.1,"3",977,125,1102,-1,1583,567,416,260,338,0,4,1574,5,1583,17.8,"12",0,0,1,562,4,0,0,1,415,0,0,0,2,258,0,0,0,0,337,1
"0100390","010039000165","1","1",65,"3",554,34,588,-1,924,338,196,180,210,0,5,917,2,924,14.2,"12",0,0,3,334,1,0,0,2,194,0,0,0,0,180,0,0,0,0,209,1
"0100390","010039000176","1","1",39,"3",150,62,212,-1,594,141,149,143,161,0,2,585,7,594,15.2,"12",0,0,1,138,2,0,0,0,146,3,0,0,0,142,1,0,0,1,159,1
"0100390","010039000192","1","1",54,"3",535,67,602,-1,817,254,216,189,158,0,0,816,1,817,15.1,"12",0,0,0,254,0,0,0,0,215,1,0,0,0,189,0,0,0,0,158,0
"0100390","010039000194","1","1",47.5,"3",517,60,577,-1,677,256,151,119,151,0,1,675,1,677,14.3,"12",0,0,1,255,0,0,0,0,151,0,0,0,0,119,0,0,0,0,150,1
"0100390","010039000198","1","1",47.5,"3",571,49,620,-1,706,273,157,148,128,1,0,699,6,706,14.9,"12",0,1,0,270,2,0,0,0,156,1,0,0,0,146,2,0,0,0,127,1
"0100390","010039001281","4","1",0,"3",10,0,10,-1,15,0,7,6,2,0,0,15,0,15,-1,"12",0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,2,0
"0100390","010039001288","4","1",-1,"4",117,3,120,-1,132,40,18,15,8,0,0,131,1,132,-1,"12",0,0,0,39,1,0,0,0,18,0,0,0,0,15,0,0,0,0,8,0
"0100390","010039001296","2","1",0,"4",-2,-2,-2,-1,0,0,0,0,0,0,0,0,0,0,-1,"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039001316","3","1",0,"3",-2,-2,-2,-1,0,0,0,0,0,0,0,0,0,0,-1,"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039001468","1","1",69,"3",696,85,781,-1,1046,334,242,225,245,1,14,1026,5,1046,15.2,"12",0,0,8,324,2,0,0,6,235,1,0,1,0,223,1,0,0,0,244,1
"0100390","010039001628","4","2",-2,"N",-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"12",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"0100390","010039001629","2","1",0,"3",-2,-2,-2,-1,0,0,0,0,0,0,0,0,0,0,-1,"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039001746","4","1",0,"3",-2,-2,-2,-1,0,0,0,0,0,0,0,0,0,0,-1,"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039001761","4","1",0,"3",-2,-2,-2,-1,0,0,0,0,0,0,0,0,0,0,-1,"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039001765","2","1",0,"3",0,2,2,-1,8,2,4,0,2,0,0,8,0,8,-1,"12",0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0
