"LEAID","NCESSCH","TR10","AM10","AS10","BL10","HI10","oth10","HP10","WH10","TR11","AM11","AS11","BL11","HI11","oth11","HP11","WH11","TR12","AM12","AS12","BL12","HI12","oth12","HP12","WH12","TR09","AM09","AS09","BL09","HI09","oth09","HP09","WH09","total_g10","total_g11","total_g12","total_g9","total_enroll","FRELCH","REDLCH","TOTFRL","lunch_total"
"0100390","010039000141",5,1,0,276,31,318,0,5,4,0,0,226,37,269,0,2,4,0,0,225,14,244,0,1,8,0,0,269,36,316,0,3,636,538,488,632,2294,730,90,820,820
"0100390","010039000164",1,0,0,204,22,227,0,0,0,1,0,146,13,160,0,0,1,0,0,141,10,152,0,0,0,0,0,222,23,245,0,0,454,320,304,490,1568,670,40,710,710
"0100390","010039000165",1,0,0,191,31,223,0,0,0,2,0,158,19,180,0,1,0,0,1,154,15,171,0,1,1,0,0,199,49,252,0,3,446,360,342,504,1652,693,48,741,741
"0100390","010039000176",2,0,0,173,6,182,0,1,2,0,0,136,2,140,0,0,2,0,0,158,3,164,0,1,2,0,0,167,4,174,0,1,364,280,328,348,1320,305,94,399,399
"0100390","010039000192",2,0,0,159,13,176,0,2,0,0,0,133,8,143,0,2,4,0,0,128,4,137,0,1,2,0,0,186,11,200,0,1,352,286,274,400,1312,525,32,557,557
"0100390","010039000198",1,0,0,196,38,237,0,2,2,0,0,114,13,131,0,2,2,0,1,104,11,118,0,0,2,0,0,216,31,252,0,3,474,262,236,504,1476,638,32,670,670
"0100390","010039001288",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"0100390","010039001296",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"0100390","010039001468",3,0,0,105,25,134,0,1,0,1,0,91,18,110,0,0,1,1,0,103,21,127,1,0,2,0,0,124,32,160,1,1,268,220,254,320,1062,435,25,460,460
"0100390","010039001765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"0100390","010039002553",0,0,0,39,2,42,0,1,0,1,0,52,4,57,0,0,0,0,0,32,1,33,0,0,0,0,0,27,0,27,0,0,84,114,66,54,318,265,2,267,267
"0102370","010237000898",1,0,0,150,6,167,0,10,2,0,0,110,10,127,0,5,0,0,0,100,8,113,0,5,2,0,1,159,14,182,0,6,334,254,226,364,1178,508,21,529,529
"0102370","010237000899",32,4,26,207,51,619,0,299,29,1,25,210,42,640,1,332,26,1,24,163,40,531,1,276,28,3,26,222,58,701,0,364,1238,1280,1062,1402,4982,918,115,1033,1033
"0102370","010237000900",5,0,0,267,7,280,0,1,2,0,0,266,3,273,0,2,0,0,1,257,4,265,0,3,4,0,3,333,10,358,0,8,560,546,530,716,2352,979,35,1014,1014
"0102370","010237000906",6,30,0,34,5,170,0,95,10,29,0,45,7,170,0,79,11,30,1,37,6,163,0,78,23,25,1,45,4,216,0,118,340,340,326,432,1438,456,44,500,500
"0102370","010237000912",11,1,26,217,43,383,0,85,10,2,12,179,31,311,1,76,15,0,19,166,17,316,0,99,26,1,30,302,47,525,3,116,766,622,632,1050,3070,850,80,930,930
"0102370","010237000934",14,5,3,134,30,512,0,326,18,0,1,122,27,440,0,272,11,3,0,118,22,440,0,286,3,5,3,123,44,537,0,359,1024,880,880,1074,3858,920,113,1033,1033
"0102370","010237000942",5,1,5,231,22,321,0,57,7,2,5,215,9,298,0,60,9,1,4,201,4,266,0,47,17,1,2,269,17,369,0,63,642,596,532,738,2508,771,57,828,828
"0102370","010237000962",0,1,0,149,6,156,0,0,2,0,0,111,2,115,0,0,3,1,0,124,3,131,0,0,4,1,0,206,3,216,0,2,312,230,262,432,1236,493,23,516,516
"0102370","010237000964",0,0,0,139,2,142,0,1,0,0,0,113,2,116,0,1,1,0,0,105,1,108,0,1,2,0,0,174,0,181,1,4,284,232,216,362,1094,459,12,471,471
"0102370","010237000969",2,0,0,127,4,134,0,1,1,0,0,93,4,99,0,1,2,0,0,92,1,96,1,0,5,0,0,147,7,165,1,5,268,198,192,330,988,887,16,903,903
"0102370","010237000989",12,1,37,50,26,450,0,324,17,1,24,42,27,387,0,276,10,3,27,36,14,308,0,218,21,2,27,48,33,472,0,341,900,774,616,944,3234,880,102,982,982
"0102370","010237001083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"0102370","010237001086",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"0102370","010237001605",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,32,0,32,32
"0102370","010237001618",0,0,1,13,1,25,1,9,0,0,0,13,0,20,0,7,1,0,0,45,4,85,0,35,2,0,0,11,1,26,0,12,50,40,170,52,312,151,12,163,163
"0102370","010237001686",0,0,0,23,0,36,0,13,0,0,0,20,0,22,0,2,0,0,0,21,0,26,0,5,2,0,0,27,0,38,0,9,72,44,52,76,244,91,0,91,91
"0102370","010237001688",17,0,8,97,30,316,0,164,12,3,7,87,18,288,1,160,12,1,8,90,23,272,1,137,21,3,8,117,37,404,0,218,632,576,544,808,2560,691,76,767,767
"0102370","010237002177",0,0,0,6,1,7,0,0,1,0,1,10,0,13,0,1,1,0,0,14,1,18,0,2,0,0,0,3,0,3,0,0,14,26,36,6,82,34,1,35,35
"0102370","010237002477",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"0614550","061455001711",17,6,42,63,369,651,5,143,22,2,35,48,348,611,3,147,17,3,35,45,328,585,5,150,32,3,23,64,376,652,2,152,1296,1216,1168,1304,4984,1031,467,1498,1498
"0614550","061455001720",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,6,23,105,161,1,17,0,0,0,0,0,0,0,0,0,2,316,0,318,112,35,147,147
"0614550","061455001723",11,1,52,68,454,621,2,31,9,2,47,57,441,611,0,53,9,2,62,66,347,537,0,51,15,4,56,75,509,702,3,34,1240,1220,1074,1398,4932,1516,482,1998,1998
"0614550","061455001730",11,4,19,37,403,524,3,47,8,4,28,35,388,515,5,43,6,1,20,33,309,408,0,35,13,7,29,60,482,650,4,53,1048,1026,812,1298,4184,1417,463,1880,1880
"0614550","061455001737",21,4,58,49,339,513,0,42,15,4,83,45,286,496,2,53,11,3,56,36,246,405,1,52,13,4,75,53,375,597,5,68,1026,984,810,1190,4010,1270,354,1624,1624
"0614550","061455001754",2,3,77,41,376,520,3,16,7,3,71,24,387,510,1,17,8,0,82,10,243,358,2,9,10,3,79,22,428,560,2,16,1038,1020,712,1120,3890,1375,448,1823,1823
"0614550","061455001762",5,3,55,29,462,575,1,18,6,1,55,28,415,532,0,23,7,1,34,20,366,449,3,18,3,2,44,41,566,676,3,15,1148,1060,898,1350,4456,1553,492,2045,2045
"0614550","061455001986",0,0,0,0,3,3,0,0,1,2,14,13,144,179,1,2,1,1,30,28,319,405,2,16,0,0,0,0,0,0,0,0,6,356,802,0,1164,418,156,574,574
"0614550","061455003024",0,0,0,0,6,6,0,0,0,0,0,0,2,2,0,0,0,0,1,0,5,8,0,2,0,0,0,0,1,2,0,1,12,4,16,4,36,13,2,15,15
"0614550","061455005749",2,0,12,16,109,154,0,15,10,2,23,34,227,319,1,18,3,2,16,19,151,216,1,22,2,0,7,6,70,97,0,12,308,634,430,194,1566,1358,317,1675,1675
"0614550","061455007963",17,4,132,45,563,779,4,14,11,3,146,36,443,653,0,12,8,2,153,35,451,670,0,21,8,1,146,40,565,778,3,15,1558,1304,1340,1556,5758,1801,796,2597,2597
"0614550","061455007964",0,0,0,0,3,3,0,0,0,0,1,0,3,4,0,0,0,0,0,0,3,5,0,2,0,0,0,0,4,6,0,2,6,8,10,12,36,6,9,15,15
"0614550","061455008841",0,0,37,14,248,304,1,4,0,0,32,6,231,280,0,9,1,0,31,5,227,277,0,13,8,2,35,11,261,339,1,19,608,558,554,676,2396,779,294,1073,1073
"0614550","061455010779",3,0,7,2,42,60,1,5,3,0,2,1,50,63,0,7,1,0,10,3,26,54,1,13,3,0,14,2,39,69,2,7,120,126,108,136,490,103,54,157,157
"0614550","061455012434",0,0,0,1,3,5,0,1,0,0,0,3,3,7,0,1,0,0,0,0,2,2,0,0,0,0,0,3,11,15,0,1,10,14,4,30,58,46,7,53,53
"0614550","061455013893",3,0,3,6,58,73,0,3,2,0,3,1,36,47,0,5,0,0,0,3,27,34,0,4,3,1,3,8,66,89,0,8,146,94,68,178,486,148,55,203,203
"0622500","062250002728",10,0,21,102,475,629,13,8,4,0,21,68,366,474,7,8,5,3,31,78,374,512,18,3,5,1,36,90,475,626,11,8,1258,948,1024,1252,4482,1447,23,1470,1470
"0622500","062250002733",30,1,71,134,387,710,18,69,25,1,73,135,411,710,14,51,19,1,78,112,368,664,14,72,26,1,67,128,383,677,15,57,1420,1420,1328,1354,5522,1362,59,1421,1421
"0622500","062250002745",45,1,59,64,424,853,3,257,37,3,76,59,405,823,6,237,35,2,55,63,325,741,7,252,65,0,84,68,428,896,7,242,1706,1646,1480,1790,6622,885,36,921,921
"0622500","062250002751",42,1,188,148,555,1026,14,78,44,0,197,140,523,982,13,65,44,2,187,135,467,932,22,75,57,0,165,152,566,1013,13,58,2052,1964,1864,2024,7904,2058,56,2114,2114
"0622500","062250002753",0,0,0,0,0,0,0,0,3,0,1,6,29,41,1,1,1,0,2,16,49,73,1,4,0,0,0,0,0,0,0,0,NA,82,146,NA,228,96,0,96,96
"0622500","062250002769",33,2,57,120,527,892,4,149,27,2,64,110,480,871,2,186,26,3,69,93,458,829,2,174,52,1,63,107,527,926,4,170,1784,1742,1654,1850,7030,1675,30,1705,1705
"0622500","062250005870",7,0,47,57,353,477,10,3,6,0,51,40,349,456,4,6,3,1,57,31,318,422,9,3,12,0,35,36,332,432,5,10,954,912,844,862,3572,1161,26,1187,1187
"0622500","062250007299",0,0,0,0,32,39,0,7,2,0,0,0,34,44,0,8,0,0,0,0,28,34,0,6,0,0,0,0,31,33,0,2,78,88,68,66,300,223,13,236,236
"0622500","062250008720",3,0,2,13,64,100,0,18,3,0,4,25,57,105,2,12,8,0,4,32,48,103,0,11,9,0,4,21,78,128,0,16,200,208,206,256,870,227,7,234,234
"0622500","062250009901",5,0,84,17,60,172,0,6,10,0,63,3,81,164,1,6,7,0,62,7,73,164,1,14,6,0,95,3,59,172,1,8,344,328,328,344,1344,191,8,199,199
"0622500","062250010239",1,0,3,10,46,65,1,4,14,1,18,47,242,345,7,14,16,1,32,104,468,662,9,32,0,0,0,0,0,0,0,0,130,688,1324,0,2142,704,3,707,707
"0622500","062250011291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"0622500","062250013001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"0622500","062250013105",10,1,17,11,110,192,2,41,7,0,20,9,103,187,0,48,6,0,27,16,89,175,2,35,12,0,16,13,106,186,1,38,384,374,350,372,1480,245,16,261,261
"0622500","062250013896",4,1,34,4,64,133,0,26,7,2,26,8,45,122,2,32,5,0,36,0,34,96,1,20,13,0,34,10,37,130,0,36,266,244,192,260,962,125,5,130,130
"0622500","062250014120",1,1,4,20,39,70,1,4,5,0,12,17,37,75,0,4,4,0,11,12,40,71,1,3,13,0,10,21,56,106,1,5,140,150,142,212,644,204,5,209,209
"0622710","062271002128",0,0,0,0,0,14,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,16,0,0,14,8,4,16,42,42,0,42,42
"0622710","062271002801",0,0,0,0,0,10,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,8,0,0,10,12,85,8,115,102,2,104,104
