"LEAID","NCESSCH","TR10","AM10","AS10","BL10","HI10","HP10","WH10","TR11","AM11","AS11","BL11","HI11","HP11","WH11","TR12","AM12","AS12","BL12","HI12","HP12","WH12","TR09","AM09","AS09","BL09","HI09","HP09","WH09","total_g10","total_g11","total_g12","total_g9","total_enroll","FRELCH","REDLCH","TOTFRL","rate_frelch","rate_redlch","rate_totfrl","lunch_total"
"0100390","010039000073",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-14,-14,-14,-14,-56,-1,-1,-2,NA,NA,NA,-2
"0100390","010039000141",0,0,1,337,16,0,3,0,0,0,263,6,0,2,0,0,0,246,4,0,3,0,1,0,414,14,0,3,357,271,253,432,1313,688,0,688,0.523990860624524,0,0.523990860624524,688
"0100390","010039000164",0,0,0,296,9,0,1,0,0,0,232,4,0,1,0,0,0,207,3,0,0,0,0,0,293,3,0,1,306,237,210,297,1050,653,0,653,0.621904761904762,0,0.621904761904762,653
"0100390","010039000165",0,0,0,224,2,0,0,0,0,0,159,3,0,2,0,0,0,179,1,0,2,2,0,0,253,2,0,1,226,164,182,258,830,534,0,534,0.643373493975904,0,0.643373493975904,534
"0100390","010039000176",0,0,0,246,2,0,1,0,0,1,197,3,0,1,0,0,0,177,1,0,2,0,1,0,221,1,0,2,249,202,180,225,856,221,0,221,0.258177570093458,0,0.258177570093458,221
"0100390","010039000192",0,0,0,202,3,0,1,0,0,0,179,1,0,1,0,0,0,153,0,0,0,1,0,0,229,3,0,1,206,181,153,234,774,484,0,484,0.625322997416021,0,0.625322997416021,484
"0100390","010039000198",2,0,0,215,14,0,0,2,0,1,180,5,1,0,2,0,0,146,5,0,2,0,1,0,198,12,0,1,231,189,155,212,787,528,0,528,0.670902160101652,0,0.670902160101652,528
"0100390","010039001288",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-14,-14,-14,-14,-56,-1,-1,-2,NA,NA,NA,-2
"0100390","010039001296",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,-1,-1,-2,-0.5,-0.5,-1,-2
"0100390","010039001468",1,0,0,188,26,0,0,0,0,0,168,8,0,1,0,0,1,129,13,0,1,2,0,0,215,35,0,3,215,177,144,255,791,473,0,473,0.597977243994943,0,0.597977243994943,473
"0100390","010039001629",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-14,-14,-14,-14,-56,-1,-1,-2,NA,NA,NA,-2
"0100390","010039001761",0,0,0,1,0,0,1,1,0,0,4,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,6,4,0,12,9,0,9,0.75,0,0.75,9
"0100390","010039001765",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-14,-14,-14,-14,-56,-1,-1,-2,NA,NA,NA,-2
"0102370","010237000898",1,0,0,185,7,0,3,4,0,1,161,0,0,3,1,0,0,150,0,0,3,2,0,0,245,3,0,6,196,169,154,256,775,541,0,541,0.698064516129032,0,0.698064516129032,541
"0102370","010237000899",7,5,19,213,30,1,429,8,2,18,214,22,0,371,9,3,14,181,16,0,358,18,5,19,231,25,0,455,704,635,581,753,2673,608,0,608,0.227459783015339,0,0.227459783015339,608
"0102370","010237000900",1,0,0,250,1,0,3,1,0,0,205,0,0,4,1,0,0,188,0,0,2,0,1,0,303,2,0,5,255,210,191,311,967,612,0,612,0.632885211995863,0,0.632885211995863,612
"0102370","010237000906",3,37,0,37,4,1,115,2,38,0,36,1,0,105,3,31,0,51,0,0,99,2,45,1,66,4,0,135,197,182,184,253,816,303,0,303,0.371323529411765,0,0.371323529411765,303
"0102370","010237000912",2,0,10,228,26,2,108,8,1,21,175,12,2,93,5,1,33,182,18,0,80,13,0,34,306,27,0,136,376,312,319,516,1523,529,0,529,0.347340774786605,0,0.347340774786605,529
"0102370","010237000934",8,4,3,92,11,0,428,4,4,8,63,15,0,392,1,4,8,65,7,0,370,9,8,2,96,20,0,517,546,486,455,652,2139,604,0,604,0.282374941561477,0,0.282374941561477,604
"0102370","010237000942",10,1,10,402,10,0,94,8,1,7,376,10,0,117,10,1,9,360,11,0,116,14,1,15,524,22,0,123,527,519,507,699,2252,976,0,976,0.433392539964476,0,0.433392539964476,976
"0102370","010237000962",2,0,0,259,1,0,0,1,0,0,191,0,0,1,1,0,0,190,0,0,0,3,0,0,274,0,0,0,262,193,191,277,923,577,0,577,0.625135427952329,0,0.625135427952329,577
"0102370","010237000964",3,0,0,183,0,0,4,0,0,0,165,0,0,4,1,0,0,181,1,0,4,0,0,1,204,0,0,7,190,169,187,212,758,519,0,519,0.684696569920844,0,0.684696569920844,519
"0102370","010237000969",1,1,0,156,2,0,2,0,0,0,115,0,0,0,0,0,0,128,0,0,0,1,1,0,187,0,0,2,162,115,128,191,596,463,0,463,0.776845637583893,0,0.776845637583893,463
"0102370","010237000989",8,4,28,60,10,0,342,7,2,36,45,13,0,300,6,0,29,42,13,0,250,9,5,31,53,19,1,428,452,403,340,546,1741,564,0,564,0.323951751866743,0,0.323951751866743,564
"0102370","010237001083",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-14,-14,-14,-14,-56,-1,-1,-2,NA,NA,NA,-2
"0102370","010237001086",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-14,-14,-14,-14,-56,-1,-1,-2,NA,NA,NA,-2
"0102370","010237001596",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-14,-14,-14,-14,-56,-1,-1,-2,NA,NA,NA,-2
"0102370","010237001597",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-28,-28,-28,-28,-112,0,0,0,NA,NA,NA,0
"0102370","010237001600",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-14,-14,-14,-14,-56,-1,-1,-2,NA,NA,NA,-2
"0102370","010237001605",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,3,37,NA,NA,NA,37
