"LEAID","NCESSCH","TR10","AM10","AS10","BL10","HI10","oth10","WH10","TR11","AM11","AS11","BL11","HI11","oth11","WH11","TR12","AM12","AS12","BL12","HI12","oth12","WH12","TR09","AM09","AS09","BL09","HI09","oth09","WH09","HP10","HP11","HP12","HP09","total_g10","total_g11","total_g12","total_g9","total_enroll","FRELCH","REDLCH","TOTFRL","lunch_total"
"4702940","470014802045",0,0,0,64,2,66,0,0,0,0,67,0,67,0,0,0,0,53,1,54,0,0,0,0,93,5,101,3,0,0,0,0,132,134,108,202,576,NA,NA,NA,NA
"4702940","470014802080",23,1,14,361,148,633,85,20,0,16,353,110,576,77,20,0,13,347,92,543,71,15,1,9,381,138,617,73,1,0,0,0,1266,1152,1086,1234,4738,NA,NA,NA,NA
"4702940","470014802081",1,0,0,31,0,32,0,1,0,0,19,0,20,0,0,0,0,19,0,19,0,1,0,0,39,0,40,0,0,0,0,0,64,40,38,80,222,NA,NA,NA,NA
"4702940","470014802083",0,0,0,81,1,82,0,1,0,0,77,0,78,0,1,0,0,53,0,54,0,0,0,0,77,0,77,0,0,0,0,0,164,156,108,154,582,NA,NA,NA,NA
"4702940","470014802088",0,0,0,80,0,81,1,0,0,0,83,0,84,1,0,0,0,79,0,79,0,0,0,0,92,0,92,0,0,0,0,0,162,168,158,184,672,NA,NA,NA,NA
"4702940","470014802137",6,0,4,332,55,401,4,5,0,1,316,47,369,0,11,0,2,330,39,384,2,6,1,5,366,62,444,4,0,0,0,0,802,738,768,888,3196,NA,NA,NA,NA
"4702940","470014802150",4,0,1,99,7,111,0,2,0,0,104,4,111,0,2,0,1,119,10,132,0,1,0,0,116,9,126,0,0,1,0,0,222,222,264,252,960,NA,NA,NA,NA
"4702940","470014802178",0,0,0,91,24,116,1,0,0,0,92,13,105,0,0,0,0,59,6,65,0,2,0,0,104,25,132,1,0,0,0,0,232,210,130,264,836,NA,NA,NA,NA
"4702940","470014802179",2,0,0,119,4,125,0,0,0,0,95,1,96,0,0,0,0,88,1,89,0,2,0,0,122,2,126,0,0,0,0,0,250,192,178,252,872,NA,NA,NA,NA
"4702940","470014802188",4,0,0,68,2,74,0,1,0,0,52,3,56,0,2,0,0,43,0,46,1,1,0,0,62,0,63,0,0,0,0,0,148,112,92,126,478,NA,NA,NA,NA
"4702940","470014802208",1,0,0,85,9,95,0,0,0,0,59,4,63,0,0,0,0,47,1,48,0,0,0,0,105,6,111,0,0,0,0,0,190,126,96,222,634,NA,NA,NA,NA
"4702940","470014802221",5,0,0,112,5,123,1,1,0,0,86,6,94,1,1,0,0,56,1,60,2,1,0,0,93,2,97,1,0,0,0,0,246,188,120,194,748,NA,NA,NA,NA
"4702940","470014802245",0,0,2,44,13,60,1,1,0,0,39,13,53,0,0,0,0,36,3,39,0,1,0,1,58,14,75,1,0,0,0,0,120,106,78,150,454,NA,NA,NA,NA
"4702940","470014802270",2,0,0,180,13,195,0,0,1,1,165,8,175,0,1,0,2,132,7,143,1,3,0,0,177,13,193,0,0,0,0,0,390,350,286,386,1412,NA,NA,NA,NA
"4702940","470014802271",2,0,0,18,1,31,10,1,0,0,18,0,24,5,3,0,0,55,1,67,8,4,0,0,15,2,27,6,0,0,0,0,62,48,134,54,298,NA,NA,NA,NA
"4702940","470014802273",2,0,0,111,1,114,0,1,0,0,114,3,119,1,0,0,0,74,2,76,0,1,0,0,159,4,165,1,0,0,0,0,228,238,152,330,948,NA,NA,NA,NA
"4702940","470014802323",0,0,0,52,0,52,0,1,0,0,55,0,56,0,1,0,1,55,1,58,0,0,0,0,66,0,66,0,0,0,0,0,104,112,116,132,464,NA,NA,NA,NA
"4702940","470014802430",0,0,1,8,1,33,23,0,0,0,8,0,28,20,0,0,0,33,1,54,20,0,0,0,0,2,26,24,0,0,0,0,66,56,108,52,282,NA,NA,NA,NA
"4702940","470014802443",0,0,1,120,4,130,5,0,0,0,68,9,78,1,1,0,0,99,4,106,2,1,0,0,60,3,66,2,0,0,0,0,260,156,212,132,760,NA,NA,NA,NA
"4808940","480894000292",27,1,51,35,167,544,261,20,0,37,27,181,566,301,17,0,36,29,172,513,259,19,3,56,32,190,594,293,2,0,0,1,1088,1132,1026,1188,4434,418,83,501,501
"4808940","480894000294",17,0,12,22,252,533,230,15,0,7,18,225,515,249,10,0,9,26,200,460,215,19,0,10,34,281,637,293,0,1,0,0,1066,1030,920,1274,4290,486,112,598,598
"4808940","480894000310",6,0,3,31,252,351,59,8,0,6,16,255,344,59,5,0,4,22,251,331,49,6,3,4,33,370,489,73,0,0,0,0,702,688,662,978,3030,816,124,940,940
"4808940","480894000327",5,0,11,31,370,432,15,0,1,6,30,308,354,9,2,2,7,28,258,305,8,2,0,5,45,500,568,16,0,0,0,0,864,708,610,1136,3318,1291,100,1391,1391
"4808940","480894000333",18,0,15,42,156,451,220,21,2,11,55,169,450,192,16,2,7,42,128,370,175,12,1,7,45,178,488,245,0,0,0,0,902,900,740,976,3518,416,52,468,468
"4808940","480894000350",2,0,11,38,253,311,7,2,1,6,48,249,317,11,1,0,12,48,187,257,9,3,0,7,56,288,370,16,0,0,0,0,622,634,514,740,2510,934,85,1019,1019
"4808940","480894000360",3,2,6,29,282,334,12,2,0,9,27,242,290,10,4,1,3,28,245,294,13,3,0,6,42,346,414,17,0,0,0,0,668,580,588,828,2664,946,83,1029,1029
"4808940","480894005396",0,0,0,0,4,5,1,0,0,0,3,2,6,1,2,0,4,10,54,94,24,1,0,0,1,2,6,2,0,0,0,0,10,12,188,12,222,71,6,77,77
"4808940","480894005646",0,0,0,1,1,3,1,0,0,0,1,0,3,2,0,0,0,0,3,3,0,0,0,0,1,0,4,3,0,0,0,0,6,6,6,8,26,0,0,0,0
"4808940","480894006508",40,0,36,28,279,800,417,27,3,32,25,259,694,348,31,1,37,23,245,670,333,36,2,51,28,221,730,391,0,0,0,1,1600,1388,1340,1460,5788,277,68,345,345
"4808940","480894007137",0,0,0,6,6,14,2,0,0,0,2,4,6,0,0,0,0,2,6,8,0,0,0,0,2,9,12,1,0,0,0,0,28,12,16,24,80,23,1,24,24
