"NCESSCH","LEAID","TYPE08","STATUS08","ULOCAL08","FTE08","LEVEL08","FRELCH08","REDLCH08","TOTFRL08","MEMBER08","G0908","G1008","G1108","G1208","AM09","AS09","HI09","BL09","WH09","HP09","TR09","AM10","AS10","HI10","BL10","WH10","HP10","TR10","AM11","AS11","HI11","BL11","WH11","HP11","TR11","AM12","AS12","HI12","BL12","WH12","HP12","TR12","ASIAN","HISP","BLACK","WHITE"
"010039001468","0100390","1","1","12",74.8,"3",860,68,928,1129,382,307,241,199,0,0,11,370,1,-4,-4,0,1,14,291,1,-4,-4,0,0,5,233,3,-4,-4,0,0,2,196,1,-4,-4,1,32,1090,6
"010039001765","0100390","2","1","12",NA,"3",1,0,1,5,3,0,2,0,0,0,0,3,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,2,0,-4,-4,0,0,0,0,0,-4,-4,0,0,5,0
"010237000898","0102370","1","1","12",39.6,"3",452,32,484,612,208,162,110,132,0,2,1,194,11,-4,-4,0,0,0,152,10,-4,-4,0,1,0,107,2,-4,-4,0,1,0,126,5,-4,-4,4,1,579,28
"010237000899","0102370","1","1","21",108.1,"3",489,103,592,2051,683,543,420,405,1,21,13,183,465,-4,-4,2,9,11,139,382,-4,-4,2,11,8,94,305,-4,-4,2,8,7,88,300,-4,-4,49,39,504,1452
"010237000900","0102370","1","1","21",94.6,"3",1057,103,1160,1465,547,346,276,296,1,2,2,529,13,-4,-4,0,2,2,334,8,-4,-4,1,0,0,272,3,-4,-4,0,0,1,293,2,-4,-4,4,5,1428,26
"010237000906","0102370","1","1","42",46.9,"3",366,71,437,735,247,190,155,143,32,0,2,74,139,-4,-4,31,0,1,45,113,-4,-4,25,0,1,38,91,-4,-4,29,0,0,38,76,-4,-4,0,4,195,419
"010237000912","0102370","1","1","12",89.2,"3",647,113,760,1482,579,381,296,226,0,42,13,401,123,-4,-4,0,19,20,239,103,-4,-4,0,25,10,178,83,-4,-4,0,12,16,121,77,-4,-4,98,59,939,386
"010237000934","0102370","1","1","41",104,"3",607,169,776,1815,653,476,366,320,4,3,9,87,550,-4,-4,2,0,10,57,407,-4,-4,3,0,5,63,295,-4,-4,1,3,6,33,277,-4,-4,6,30,240,1529
"010237000942","0102370","1","1","12",145.5,"3",1032,139,1171,2568,803,658,548,559,1,15,5,552,230,-4,-4,1,27,5,391,234,-4,-4,0,19,8,314,207,-4,-4,1,14,8,315,221,-4,-4,75,26,1572,892
"010237000953","0102370","1","1","21",71.3,"3",324,91,415,1144,246,347,273,278,3,1,2,34,206,-4,-4,7,1,2,78,259,-4,-4,1,1,2,47,222,-4,-4,3,2,0,42,231,-4,-4,5,6,201,918
"010237000962","0102370","1","1","12",58.7,"3",675,53,728,965,343,240,172,210,0,0,0,341,2,-4,-4,0,0,0,239,1,-4,-4,0,1,0,171,0,-4,-4,0,0,0,205,5,-4,-4,1,0,956,8
"010237000964","0102370","1","1","21",54.9,"3",712,34,746,915,373,236,202,104,0,0,0,368,5,-4,-4,0,0,0,232,4,-4,-4,0,0,0,200,2,-4,-4,0,0,0,102,2,-4,-4,0,0,902,13
"010237000969","0102370","1","1","12",74.5,"3",881,42,923,1178,413,345,194,225,0,1,0,410,2,-4,-4,0,0,1,343,1,-4,-4,0,1,0,192,1,-4,-4,1,0,0,224,0,-4,-4,2,1,1169,4
"010237000989","0102370","1","1","41",95,"3",778,137,915,1642,535,428,353,325,0,48,7,64,416,-4,-4,3,39,3,55,328,-4,-4,0,34,9,47,263,-4,-4,2,30,2,44,247,-4,-4,151,21,210,1254
"010237000999","0102370","4","1","12",NA,"4",10,2,12,15,3,3,3,0,0,0,0,1,2,-4,-4,0,0,0,2,1,-4,-4,0,0,0,2,1,-4,-4,0,0,0,0,0,-4,-4,0,0,5,4
"010237001040","0102370","4","1","12",NA,"3",26,2,28,35,16,8,7,4,0,0,1,12,3,-4,-4,0,0,0,7,1,-4,-4,1,0,0,4,2,-4,-4,0,0,0,4,0,-4,-4,0,1,27,6
"010237001083","0102370","3","1","21",13.9,"3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
"010237001086","0102370","3","1","41",13.8,"3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
"010237001596","0102370","3","1","12",0,"3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
"010237001605","0102370","2","1","12",NA,"4",16,0,16,36,5,2,1,1,0,0,0,1,4,-4,-4,0,0,0,0,2,-4,-4,0,0,0,0,1,-4,-4,0,0,0,0,1,-4,-4,0,0,1,8
"010237001618","0102370","2","1","12",44.6,"4",152,14,166,235,18,24,24,82,0,2,0,10,6,-4,-4,0,0,0,17,7,-4,-4,0,0,0,13,11,-4,-4,0,0,2,49,31,-4,-4,2,2,89,55
"010237001626","0102370","3","1","12",0.9,"3",NA,NA,NA,0,NA,0,0,0,-4,-4,-4,-4,-4,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,-4,-4,-4,-4
"010237001686","0102370","4","1","12",15.8,"4",38,3,41,45,13,4,4,8,0,0,0,13,0,-4,-4,0,0,0,3,1,-4,-4,0,0,0,3,1,-4,-4,0,0,0,7,1,-4,-4,0,0,26,3
"010237001688","0102370","1","1","21",100.9,"3",674,152,826,1696,625,402,341,328,5,15,8,139,458,-4,-4,1,14,4,90,293,-4,-4,3,9,5,65,259,-4,-4,1,13,1,54,259,-4,-4,51,18,348,1269
"010237001689","0102370","2","1","12",NA,"4",25,4,29,53,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
"061455001711","0614550","1","1","11",109.5,"3",616,171,787,2725,807,695,614,609,7,52,315,107,320,5,1,3,35,243,81,330,1,2,5,36,168,88,312,2,3,2,53,154,70,324,5,1,176,880,346,1286
"061455001720","0614550","4","1","11",18.4,"3",191,30,221,265,0,8,98,159,0,0,0,0,0,0,0,0,1,4,2,1,0,0,1,6,59,25,7,0,0,3,10,111,24,10,0,1,17,174,51,18
"061455001723","0614550","1","1","11",95.8,"3",1393,235,1628,2317,803,619,488,407,5,105,439,201,51,2,0,4,102,304,145,61,2,1,1,88,220,116,61,1,1,2,96,169,90,50,0,0,391,1132,552,223
"061455001730","0614550","1","1","11",134.7,"3",2013,372,2385,2819,826,776,658,559,8,58,542,97,119,1,1,10,69,539,75,80,3,0,3,65,415,76,92,4,3,2,83,330,51,87,5,1,275,1826,299,378
"061455001737","0614550","1","1","11",92.1,"3",966,216,1182,2023,565,524,473,461,11,65,277,86,117,5,4,7,75,232,79,127,3,1,2,76,201,62,130,0,2,3,96,173,52,131,4,2,312,883,279,505
"061455001754","0614550","1","1","11",125.4,"3",1827,227,2054,2374,741,733,517,383,10,148,444,67,69,0,3,9,168,430,66,55,1,4,2,153,297,35,28,1,1,2,114,187,45,33,2,0,583,1358,213,185
"061455001762","0614550","1","1","11",133,"3",2097,274,2371,2637,907,690,598,442,6,112,717,36,31,4,1,3,119,513,23,30,0,2,3,90,456,21,27,1,0,1,109,296,19,17,0,0,430,1982,99,105
"061455001986","0614550","4","1","11",22.3,"3",369,51,420,450,1,44,176,229,0,0,1,0,0,0,0,0,5,31,7,1,0,0,3,19,121,23,9,0,1,1,35,139,44,10,0,0,59,292,74,20
"061455003024","0614550","2","1","11",3,"4",9,2,11,17,1,5,5,3,0,0,0,1,0,0,0,0,1,2,1,1,0,0,0,0,4,0,1,0,0,0,0,0,1,2,0,0,1,6,3,4
"061455005749","0614550","4","1","11",35.5,"4",1354,11,1365,1414,298,448,337,265,3,10,209,24,46,3,3,6,21,290,46,85,0,0,7,25,209,26,70,0,0,2,19,159,26,57,1,1,75,867,122,258
"061455007497","0614550","1","1","11",13,"3",174,23,197,268,11,50,81,126,0,3,7,1,0,0,0,1,7,38,3,1,0,0,0,10,63,6,2,0,0,0,23,79,13,11,0,0,43,187,23,14
"061455007962","0614550","1","1","11",8.6,"3",0,0,0,542,98,125,117,122,2,4,58,27,6,0,1,1,2,79,34,7,0,2,0,5,76,30,4,0,2,0,12,65,34,10,1,0,23,278,125,27
"061455007963","0614550","1","1","11",139.6,"3",2470,325,2795,3193,901,939,729,624,3,220,514,125,37,2,0,3,272,533,96,33,2,0,1,267,363,62,30,4,2,5,232,283,66,33,5,0,991,1693,349,133
"061455007964","0614550","2","1","11",8,"3",35,7,42,60,16,15,2,11,0,4,9,2,1,0,0,0,1,6,3,5,0,0,0,1,1,0,0,0,0,0,5,3,1,2,0,0,11,19,6,8
"061455007965","0614550","1","1","11",5,"3",40,85,125,147,7,25,49,66,1,0,6,0,0,0,0,0,4,18,1,2,0,0,0,7,32,1,8,0,1,0,15,37,1,13,0,0,26,93,3,23
"061455008697","0614550","1","1","11",14.3,"3",287,28,315,447,179,148,72,34,3,10,116,28,21,0,1,2,18,89,28,10,0,1,2,11,36,18,4,0,1,0,6,18,5,5,0,0,45,259,79,40
"061455008841","0614550","1","1","11",54.5,"3",785,112,897,1006,308,267,225,206,1,128,149,9,20,0,1,0,106,136,5,19,1,0,1,119,89,3,13,0,0,0,107,80,5,14,0,0,460,454,22,66
"061455010775","0614550","1","1","11",11.8,"4",91,31,122,207,11,13,7,5,0,0,6,1,4,0,0,0,0,5,1,6,0,1,1,0,2,1,3,0,0,1,0,3,0,1,0,0,0,16,3,14
"061455010776","0614550","1","1","11",5.8,"4",49,1,50,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"061455010779","0614550","4","1","11",4,"3",124,21,145,176,60,55,36,25,1,5,29,8,17,0,0,0,11,32,1,11,0,0,0,5,26,0,5,0,0,0,4,15,3,3,0,0,25,102,12,36
"061455011846","0614550","1","1","11",38.8,"4",405,0,405,713,123,156,149,127,6,4,57,3,51,1,1,7,7,64,10,66,0,2,2,11,63,8,65,0,0,2,8,39,9,68,0,1,30,223,30,250
"061455011911","0614550","1","1","21",20,"3",NA,NA,NA,412,136,103,81,92,0,29,19,7,80,0,1,0,19,17,2,59,0,6,0,18,11,0,51,0,1,0,12,15,1,58,0,6,78,62,10,248
"062250002728","0622500","1","1","11",168.3,"3",2606,673,3279,4104,1147,1103,1035,819,0,66,706,284,40,34,17,0,58,701,256,27,37,24,2,85,608,233,26,36,45,1,65,487,206,18,36,6,274,2502,979,111
"062250002733","0622500","1","1","21",162.6,"3",1327,623,1950,4297,1158,1170,974,989,4,127,463,191,337,24,12,9,147,478,195,311,19,11,1,124,366,156,299,13,15,4,147,390,121,315,5,7,545,1697,663,1262
"062250002745","0622500","1","1","11",180.3,"3",2028,580,2608,4295,1194,1149,1065,882,2,76,695,135,267,7,12,1,90,672,120,239,7,20,0,89,588,102,260,6,20,3,99,442,92,234,8,4,354,2397,449,1000
"062250002751","0622500","1","1","11",181.9,"3",2318,538,2856,4756,1279,1272,1100,1105,4,366,354,363,151,31,10,2,358,378,344,143,34,13,3,350,288,305,117,24,13,0,363,263,307,137,28,7,1437,1283,1319,548
"062250002753","0622500","4","1","11",14.6,"4",245,30,275,334,0,0,115,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,71,34,1,2,1,0,11,146,50,6,5,1,17,217,84,7
"062250002769","0622500","1","1","11",172.1,"3",1734,493,2227,4343,1155,1136,1083,953,2,127,541,142,317,5,21,9,124,499,144,335,8,17,6,154,392,136,371,7,17,4,124,353,146,308,6,12,529,1785,568,1331
"062250005870","0622500","1","1","11",142.8,"3",2408,574,2982,3575,958,1037,876,699,2,88,653,170,12,22,11,1,111,712,146,23,27,17,0,95,554,167,13,29,18,3,98,417,137,17,24,3,392,2336,620,65
"062250007299","0622500","1","1","32",37.7,"4",216,135,351,649,57,47,61,54,0,0,33,0,24,0,0,0,1,35,0,11,0,0,0,1,41,0,19,0,0,1,1,30,0,22,0,0,3,139,0,76
"062250008720","0622500","4","1","11",23.8,"3",232,61,293,486,135,121,136,92,0,7,50,46,30,0,2,1,3,54,42,19,0,2,2,3,56,50,23,0,2,0,2,40,32,17,1,0,15,200,170,89
"062250009901","0622500","1","1","13",18.2,"3",137,93,230,614,168,159,144,143,1,60,53,26,23,2,3,0,54,59,26,18,2,0,0,61,42,23,18,0,0,1,52,41,23,21,2,3,227,195,98,80
"062250010239","0622500","4","1","11",21,"3",0,0,0,991,1,38,236,716,0,1,0,0,0,0,0,0,3,17,8,8,2,0,1,21,126,46,29,7,6,6,67,377,146,96,21,3,92,520,200,133
"062250011291","0622500","4","1","11",3,"3",20,1,21,28,4,5,7,6,0,0,2,2,0,0,0,0,1,1,3,0,0,0,0,1,1,3,2,0,0,0,0,1,4,1,0,0,2,5,12,3
"062250012163","0622500","1","1","11",5,"3",44,0,44,52,18,19,14,1,0,0,7,7,4,0,0,0,2,8,6,2,0,1,0,0,9,2,3,0,0,0,0,1,0,0,0,0,2,25,15,9
"062250012381","0622500","1","3","11",2.4,"3",NA,NA,NA,29,29,0,0,0,0,0,25,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,1
"062271002112","0622710","2","1","11",21,"4",168,28,196,234,17,26,41,101,0,0,16,1,0,0,0,0,0,21,4,0,0,1,0,0,34,6,1,0,0,1,10,65,17,4,2,2,10,136,28,5
"062271002128","0622710","4","1","11",18.7,"3",219,7,226,329,64,89,107,69,0,0,27,37,0,0,0,1,0,55,32,1,0,0,0,0,61,45,0,0,1,0,0,39,29,0,0,1,0,182,143,1
"062271002801","0622710","4","1","11",3,"3",68,7,75,103,14,26,27,36,0,0,12,0,1,0,1,0,0,22,0,3,0,1,0,0,25,1,0,0,1,0,0,30,1,5,0,0,0,89,2,9
"062271002802","0622710","4","1","11",2,"3",18,1,19,28,10,9,5,1,0,0,10,0,0,0,0,0,0,6,1,1,0,1,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,21,1,2
"062271002806","0622710","4","1","11",4.4,"3",32,3,35,47,4,9,18,16,0,0,3,0,1,0,0,0,1,3,2,3,0,0,0,0,11,1,6,0,0,0,0,10,2,4,0,0,1,27,5,14
"062271002815","0622710","4","1","11",3,"3",35,7,42,61,3,44,13,1,0,0,1,0,2,0,0,1,0,31,2,9,0,1,0,1,9,2,1,0,0,0,0,1,0,0,0,0,1,42,4,12
"062271002830","0622710","4","1","11",3,"3",67,10,77,100,11,23,38,28,0,0,11,0,0,0,0,0,0,23,0,0,0,0,0,0,36,1,1,0,0,1,0,24,1,1,0,1,0,94,2,2
"062271002838","0622710","1","1","11",142.7,"3",2001,277,2278,3366,1368,819,674,505,4,10,1239,64,19,27,5,0,11,737,43,13,9,6,1,14,588,43,10,16,2,1,18,430,36,8,9,3,53,2994,186,50
"062271002844","0622710","1","1","21",191,"3",3630,187,3817,4461,1354,1247,909,949,2,3,1324,5,15,0,5,10,7,1205,1,12,0,12,1,2,875,1,9,0,21,0,1,920,3,11,0,14,13,4324,10,47
"062271002857","0622710","1","1","11",131.5,"3",1749,360,2109,3212,1084,821,728,578,1,32,827,102,94,11,17,3,30,590,80,102,4,12,1,41,499,65,106,2,14,1,48,366,49,92,3,19,151,2282,296,394
"062271002890","0622710","1","1","11",80.1,"3",1162,142,1304,1872,697,489,400,285,1,20,600,36,33,0,7,4,31,389,24,32,1,8,4,20,314,18,39,0,5,2,17,217,10,34,1,4,88,1520,88,138
"062271002899","0622710","1","1","13",134.6,"3",1329,328,1657,3547,1239,890,821,597,8,226,651,222,38,59,35,5,209,408,177,26,41,24,3,242,335,153,26,42,20,2,177,224,131,21,24,18,854,1618,683,111
"062271002908","0622710","4","1","11",36,"3",323,21,344,410,96,120,106,88,4,2,72,18,0,0,0,5,4,95,13,1,1,1,7,1,78,19,0,0,1,3,4,66,15,0,0,0,11,311,65,1
"062271002916","0622710","1","1","11",119.7,"3",1260,253,1513,3223,844,875,806,698,6,154,420,71,175,5,13,4,173,410,76,188,4,20,0,184,363,64,166,1,28,2,125,312,78,168,0,13,636,1505,289,697
"062271002918","0622710","4","1","11",3.4,"3",12,0,12,51,9,19,15,8,0,0,4,4,0,0,1,0,0,12,6,1,0,0,0,0,9,6,0,0,0,0,1,5,1,1,0,0,1,30,17,2
"062271002923","0622710","1","1","11",139.8,"3",2170,410,2580,3828,1237,1009,863,719,6,157,828,61,154,6,25,5,143,646,68,125,1,21,2,166,489,40,145,1,20,1,133,387,49,132,5,12,599,2350,218,556
"062271002941","0622710","1","1","11",108.1,"3",1555,90,1645,2039,698,552,473,316,2,3,216,470,1,2,4,2,1,201,342,1,2,3,2,4,155,307,2,0,3,2,0,102,207,0,1,4,8,674,1326,4
"062271002953","0622710","4","1","11",4,"3",10,2,12,24,5,8,10,1,0,0,0,5,0,0,0,0,0,0,6,2,0,0,1,0,2,7,0,0,0,0,0,0,1,0,0,0,0,2,19,2
"062271002965","0622710","1","1","11",91.2,"3",1182,96,1278,1884,524,468,432,460,1,1,228,289,2,2,1,0,0,206,258,2,1,1,1,2,183,243,0,1,2,1,0,176,278,1,0,4,3,793,1068,5
"062271002970","0622710","1","1","11",124.2,"3",1609,348,1957,3067,767,582,530,451,4,135,548,11,52,0,17,4,114,396,11,40,3,14,0,122,349,6,41,2,10,3,99,294,5,37,0,13,470,1587,33,170
"062271002971","0622710","4","1","13",3.4,"3",48,6,54,95,15,30,32,18,0,0,10,4,0,1,0,1,3,18,5,2,1,0,0,1,23,4,1,2,1,0,1,12,4,0,0,1,5,63,17,3
"062271002972","0622710","4","1","11",3.8,"3",61,10,71,108,8,20,20,60,0,0,7,1,0,0,0,0,0,14,3,3,0,0,0,0,17,1,2,0,0,0,1,52,1,6,0,0,1,90,6,11
"062271002976","0622710","4","1","11",3.4,"3",34,1,35,52,9,18,9,16,0,1,7,0,0,0,1,0,0,15,2,0,0,1,0,0,8,1,0,0,0,0,0,15,0,0,0,1,1,45,3,0
"062271002977","0622710","1","1","11",121.3,"3",620,141,761,3514,889,947,852,826,8,91,219,71,483,3,14,6,131,259,57,473,1,20,7,121,193,68,445,4,14,3,123,197,60,431,1,11,466,868,256,1832
"062271002983","0622710","1","1","21",128.4,"4",1946,183,2129,2599,211,216,201,151,0,2,205,1,2,0,1,0,1,212,0,3,0,0,0,0,197,1,1,0,2,0,1,149,0,0,0,1,4,763,2,6
"062271002984","0622710","4","1","21",4.4,"3",75,4,79,100,23,26,33,18,0,0,8,15,0,0,0,0,0,7,19,0,0,0,0,0,8,25,0,0,0,0,0,9,9,0,0,0,0,32,68,0
"062271002995","0622710","4","1","11",4,"3",51,8,59,76,9,31,21,15,0,0,9,0,0,0,0,0,0,28,2,0,0,1,0,0,18,1,2,0,0,0,0,15,0,0,0,0,0,70,3,2
"062271002998","0622710","1","1","11",112,"3",1529,257,1786,2668,838,697,661,472,3,153,474,136,63,0,9,0,163,368,120,41,1,4,1,148,357,107,42,3,3,3,102,245,83,33,1,5,566,1444,446,179
"062271003017","0622710","1","1","11",155.1,"4",2307,208,2515,3186,156,174,168,171,0,0,138,18,0,0,0,0,0,154,19,0,0,1,0,2,151,15,0,0,0,0,1,140,30,0,0,0,3,583,82,0
"062271003020","0622710","1","1","11",154.4,"3",2927,327,3254,4312,1424,963,824,1101,5,54,1284,32,35,2,12,4,37,867,13,28,2,12,3,36,748,6,22,1,8,3,46,970,16,37,2,27,173,3869,67,122
"062271003021","0622710","1","1","11",122,"3",1660,240,1900,2646,987,698,574,387,10,41,893,19,13,1,10,0,35,637,10,8,2,6,2,36,514,3,11,0,8,2,44,324,3,10,0,4,156,2368,35,42
"062271003023","0622710","1","1","11",217.4,"3",3505,133,3638,4532,1979,1157,804,592,0,0,1776,179,4,0,20,1,0,1038,101,1,0,16,2,1,726,65,0,0,10,0,0,542,46,0,0,4,1,4082,391,5
"062271003029","0622710","1","1","11",98.1,"4",1636,167,1803,2093,332,203,122,84,0,17,292,8,13,0,2,0,9,179,7,6,0,2,0,10,102,3,3,0,4,0,7,72,1,2,0,2,43,645,19,24
"062271003034","0622710","1","1","11",132,"3",1757,201,1958,3161,1438,716,546,461,12,45,847,471,23,19,21,2,40,438,217,10,5,4,2,29,309,194,5,3,4,2,30,264,155,6,3,1,144,1858,1037,44
"062271003037","0622710","1","1","21",212.3,"3",3817,218,4035,4657,1675,1248,854,880,2,5,1653,6,6,0,3,2,4,1236,1,3,0,2,0,4,842,3,1,0,4,0,0,876,1,1,0,2,13,4607,11,11
"062271003050","0622710","1","1","11",150.5,"3",816,497,1313,4157,1281,1081,931,864,5,285,441,51,383,1,115,0,248,323,48,345,1,116,2,241,278,45,302,2,61,3,244,201,42,311,1,62,1018,1243,186,1341
"062271003052","0622710","1","1","11",111.3,"3",1664,254,1918,2632,917,658,583,474,3,20,619,39,219,4,13,0,31,381,33,203,3,7,2,20,355,25,164,5,12,1,34,286,9,139,4,1,105,1641,106,725
"062271003055","0622710","4","1","11",5.6,"3",64,7,71,116,14,24,29,49,0,0,12,0,2,0,0,0,0,18,2,4,0,0,0,2,19,4,2,0,2,0,0,37,7,4,0,1,2,86,13,12
"062271003064","0622710","1","1","11",135.8,"3",1181,180,1361,3115,966,804,751,594,5,43,498,270,140,2,8,4,33,380,238,134,2,13,3,36,319,244,138,3,8,1,40,253,177,116,1,6,152,1450,929,528
"062271003070","0622710","4","1","11",15,"3",137,7,144,158,59,39,38,16,0,0,52,5,1,0,1,0,0,33,6,0,0,0,0,0,33,4,1,0,0,0,0,15,0,1,0,0,0,133,15,3
"062271003082","0622710","4","1","11",4,"3",46,3,49,61,12,16,18,15,0,0,12,0,0,0,0,0,0,13,0,3,0,0,0,1,17,0,0,0,0,0,0,15,0,0,0,0,1,57,0,3
"062271003088","0622710","1","1","11",99.5,"3",1279,137,1416,2114,549,515,526,524,3,29,394,60,54,1,8,1,44,361,48,50,3,8,1,31,388,55,49,0,2,0,50,371,34,67,0,2,154,1514,197,220
"062271003093","0622710","4","1","11",3,"3",44,3,47,73,17,20,22,14,0,0,14,3,0,0,0,0,0,19,1,0,0,0,0,0,21,1,0,0,0,0,0,13,1,0,0,0,0,67,6,0
"062271003098","0622710","1","1","21",185,"3",3487,227,3714,4251,1808,1019,853,571,2,4,1752,14,2,0,34,0,5,989,8,4,0,13,2,7,833,5,3,0,3,1,2,555,4,1,0,8,18,4129,31,10
"062271003100","0622710","4","1","11",5.2,"3",39,6,45,95,15,28,25,27,0,0,13,0,2,0,0,0,1,22,1,3,0,1,0,0,20,0,5,0,0,0,1,19,2,4,1,0,2,74,3,14
"062271003101","0622710","4","1","11",3.6,"3",28,4,32,61,18,21,18,4,0,0,17,0,1,0,0,0,0,16,5,0,0,0,0,4,10,3,1,0,0,0,0,4,0,0,0,0,4,47,8,2
"062271003106","0622710","1","1","11",106.1,"3",1626,24,1650,1970,811,491,386,282,1,2,733,72,0,0,3,0,2,438,50,0,0,1,0,2,348,31,0,0,5,0,1,259,19,0,0,3,7,1778,172,0
"062271003107","0622710","2","1","11",19,"4",98,20,118,189,8,10,30,141,0,3,4,0,0,1,0,0,2,3,0,5,0,0,0,1,18,4,7,0,0,1,13,61,12,52,1,1,19,86,16,64
"062271003108","0622710","1","1","11",120.5,"3",1358,330,1688,3125,821,859,794,650,6,47,649,33,79,2,5,10,58,655,40,86,1,9,5,74,571,50,74,0,20,1,67,459,35,77,2,9,246,2334,158,316
"062271003109","0622710","1","1","11",90.9,"3",1312,59,1371,1672,408,453,388,423,0,1,312,91,2,0,2,1,1,351,95,1,1,3,0,1,308,75,0,0,4,1,0,317,102,0,1,2,3,1288,363,3
"062271003110","0622710","2","1","11",35,"4",155,29,184,366,26,40,29,110,0,0,18,8,0,0,0,0,2,25,12,1,0,0,0,2,23,4,0,0,0,0,4,73,26,7,0,0,8,139,50,8
"062271003133","0622710","4","1","11",6.4,"3",20,3,23,80,8,20,30,22,0,2,4,0,2,0,0,0,2,6,2,8,0,2,0,2,7,2,18,0,1,0,0,12,4,6,0,0,6,29,8,34
"062271003134","0622710","4","1","11",4,"3",54,7,61,99,12,27,29,31,0,1,10,0,1,0,0,1,1,25,0,0,0,0,0,0,27,0,2,0,0,0,1,30,0,0,0,0,3,92,0,3
"062271003139","0622710","1","1","11",124.5,"3",2234,148,2382,2760,903,800,611,446,2,123,763,10,1,1,3,0,133,650,7,6,2,2,3,107,494,5,1,1,0,0,110,327,4,4,0,1,473,2234,26,12
"062271003140","0622710","1","1","11",79.2,"3",1421,59,1480,1800,11,617,685,487,0,0,5,6,0,0,0,0,2,423,185,0,0,7,0,1,461,216,3,0,4,0,0,323,157,1,0,6,3,1212,564,4
