"NCESSCH","LEAID","TYPE08","STATUS08","ULOCAL08","FTE08","LEVEL08","FRELCH08","REDLCH08","TOTFRL08","MEMBER08","G0908","G1008","G1108","G1208","AM09","AS09","HI09","BL09","WH09","HP09","TR09","AM10","AS10","HI10","BL10","WH10","HP10","TR10","AM11","AS11","HI11","BL11","WH11","HP11","TR11","AM12","AS12","HI12","BL12","WH12","HP12","TR12","ASIAN","HISP","BLACK","WHITE"
"010039000073","0100390","3","1","12",0,"3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
"010039000141","0100390","1","1","12",83.6,"3",738,119,857,1315,443,311,286,275,0,0,3,436,4,-4,-4,0,0,4,298,9,-4,-4,0,0,2,282,2,-4,-4,0,0,0,272,3,-4,-4,0,9,1288,18
"010039000164","0100390","1","1","12",85.1,"3",1093,116,1209,1536,560,362,317,292,0,0,4,555,1,-4,-4,0,0,2,356,4,-4,-4,0,0,0,315,2,-4,-4,0,0,1,291,0,-4,-4,0,7,1517,7
"010039000165","0100390","1","1","12",62.3,"3",734,67,801,1057,387,216,248,206,0,0,0,386,1,-4,-4,0,0,0,216,0,-4,-4,0,0,1,247,0,-4,-4,0,0,2,203,1,-4,-4,0,3,1052,2
"010039000176","0100390","1","1","12",42.8,"3",268,89,357,665,232,169,124,140,0,0,3,227,2,-4,-4,0,0,0,168,1,-4,-4,0,0,1,122,1,-4,-4,0,0,0,139,1,-4,-4,0,4,656,5
"010039000192","0100390","1","1","12",69.6,"3",805,63,868,1187,404,274,278,231,1,0,1,400,2,-4,-4,0,0,0,272,2,-4,-4,0,0,0,278,0,-4,-4,0,0,0,231,0,-4,-4,0,1,1181,4
"010039000198","0100390","1","1","12",60.9,"3",944,66,1010,1157,433,260,245,219,0,1,11,418,3,-4,-4,0,0,4,253,3,-4,-4,0,1,4,238,2,-4,-4,0,1,1,215,2,-4,-4,3,20,1124,10
"010039001281","0100390","4","1","12",NA,"3",32,4,36,42,28,12,2,0,0,0,0,28,0,-4,-4,0,0,0,12,0,-4,-4,0,0,0,2,0,-4,-4,0,0,0,0,0,-4,-4,0,0,42,0
"010039001296","0100390","2","1","12",NA,"4",0,0,0,1,0,1,0,0,0,0,0,0,0,-4,-4,0,0,0,1,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,1,0
"010039001316","0100390","3","1","12",0,"3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
