"LEAID","NCESSCH","TR10","AM10","AS10","BL10","HI10","oth10","HP10","WH10","TR11","AM11","AS11","BL11","HI11","oth11","HP11","WH11","TR12","AM12","AS12","BL12","HI12","oth12","HP12","WH12","TR09","AM09","AS09","BL09","HI09","oth09","HP09","WH09","total_g10","total_g11","total_g12","total_g9","total_enroll","FRELCH","REDLCH","TOTFRL","lunch_total"
"0100390","010039000141",2,3,1,283,18,310,0,3,1,1,0,287,11,304,0,4,0,0,1,241,14,260,0,4,1,1,0,294,34,335,1,4,620,608,520,670,2418,769,95,864,864
"0100390","010039000164",1,2,1,175,12,193,2,0,0,0,0,159,7,167,0,1,0,3,0,171,2,178,0,2,1,1,0,225,14,242,0,1,386,334,356,484,1560,670,40,710,710
"0100390","010039000165",1,0,0,185,22,209,0,1,0,0,0,120,13,134,0,1,1,1,0,105,1,108,0,0,0,1,0,192,23,218,0,2,418,268,216,436,1338,561,39,600,600
"0100390","010039000176",4,0,0,184,7,195,0,0,3,1,1,199,2,206,0,0,2,0,0,186,4,193,0,1,1,0,0,159,4,165,0,1,390,412,386,330,1518,351,109,460,460
"0100390","010039000192",1,1,0,172,4,179,1,0,0,1,0,143,4,148,0,0,0,0,0,146,4,150,0,0,3,0,0,208,12,226,0,3,358,296,300,452,1406,562,35,597,597
"0100390","010039000198",2,1,0,185,14,206,0,4,1,1,0,147,9,162,1,3,0,1,0,151,12,164,0,0,4,1,1,172,25,212,0,9,412,324,328,424,1488,643,32,675,675
"0100390","010039001288",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"0100390","010039001296",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"0100390","010039001468",1,0,0,151,21,175,0,2,0,0,0,125,17,144,0,2,3,0,0,115,19,139,0,2,1,0,0,139,27,168,1,0,350,288,278,336,1252,512,30,542,542
"0100390","010039001629",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"0100390","010039001761",0,0,0,10,0,14,0,4,0,0,0,3,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,2,28,8,0,14,50,19,1,20,20
"0100390","010039001765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"0102370","010237000898",1,0,0,159,10,176,0,6,0,0,0,140,4,147,0,3,1,0,0,158,3,165,0,3,1,0,0,121,7,135,1,5,352,294,330,270,1246,537,23,560,560
"0102370","010237000899",15,5,28,196,47,626,0,335,11,2,16,167,45,558,0,317,17,1,18,218,36,615,0,325,25,2,21,196,49,636,0,343,1252,1116,1230,1272,4870,898,113,1011,1011
"0102370","010237000900",2,0,0,267,10,282,0,3,2,0,0,216,2,224,0,4,2,0,0,241,5,249,0,1,0,0,0,283,8,301,0,10,564,448,498,602,2112,879,32,911,911
"0102370","010237000906",14,31,0,38,6,202,0,113,7,27,0,40,2,195,0,119,13,23,1,37,6,168,0,88,15,32,1,59,3,236,0,126,404,390,336,472,1602,508,49,557,557
"0102370","010237000912",8,5,33,205,26,416,0,139,18,5,24,229,24,409,0,109,5,1,26,200,11,347,3,101,14,10,28,265,25,484,2,140,832,818,694,968,3312,917,86,1003,1003
"0102370","010237000934",13,4,3,122,27,532,0,363,11,5,2,98,16,466,0,334,10,3,2,102,9,456,1,329,11,5,4,114,33,522,0,355,1064,932,912,1044,3952,943,116,1059,1059
"0102370","010237000942",4,0,3,253,12,328,0,56,4,0,8,244,13,328,1,58,13,2,3,275,14,377,0,70,8,1,5,294,8,394,0,78,656,656,754,788,2854,878,65,943,943
"0102370","010237000962",1,0,0,159,1,162,0,1,1,0,0,156,3,160,0,0,3,0,0,150,4,157,0,0,0,1,0,177,3,182,0,1,324,320,314,364,1322,528,24,552,552
"0102370","010237000964",2,0,0,106,3,111,0,0,0,0,0,129,0,129,0,0,0,0,0,116,0,116,0,0,0,0,0,118,1,120,0,1,222,258,232,240,952,400,11,411,411
"0102370","010237000969",1,0,0,97,2,101,0,1,0,0,0,83,1,85,0,1,0,0,0,86,2,88,0,0,1,0,0,155,2,160,0,2,202,170,176,320,868,642,11,653,653
"0102370","010237000989",14,2,22,43,23,415,0,311,11,1,33,36,20,387,1,285,14,1,37,36,13,387,0,286,9,2,34,46,21,461,0,349,830,774,774,922,3300,898,104,1002,1002
"0102370","010237001083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"0102370","010237001086",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"0102370","010237001605",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,15,0,7,2,0,0,30,32,43,0,43,43
"0102370","010237001618",2,0,0,16,2,35,0,15,0,0,0,19,0,29,0,10,4,1,1,45,3,81,0,27,0,0,0,7,1,19,0,11,70,58,162,38,328,177,14,191,191
