"LEAID","NCESSCH","TYPE03","STATUS03","FTE03","LEVEL03","FRELCH03","REDLCH03","TOTFRL03","MIGRNT03","MEMBER03","G0903","G1003","G1103","G1203","ASIAN03","HISP03","BLACK03","WHITE03","TOTETH03","PUPTCH03","LOCALE","AM09","AS09","HI09","BL09","WH09","AM10","AS10","HI10","BL10","WH10","AM11","AS11","HI11","BL11","WH11","AM12","AS12","HI12","BL12","WH12"
"0100390","010039000073","1","1",0,"3",3,0,3,0,7,0,1,1,5,0,0,7,0,7,-1,"1",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0
"0100390","010039000104","1","2",-2,"N",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"N",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"0100390","010039000118","4","2",-2,"N",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"N",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"0100390","010039000121","1","2",-2,"N",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"N",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"0100390","010039000122","1","1",59.5,"3",602,49,651,0,1070,298,282,261,229,0,0,1069,0,1069,18,"1",0,0,0,298,0,0,0,0,281,0,0,0,0,261,0,0,0,0,229,0
"0100390","010039000138","4","1",0,"3",-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039000141","1","1",78,"3",430,98,528,0,1309,342,409,303,255,1,4,1279,25,1309,16.8,"1",0,0,2,328,12,0,0,0,400,9,0,0,0,300,3,0,1,2,251,1
"0100390","010039000151","1","2",-2,"N",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"N",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"0100390","010039000164","1","1",39,"3",315,41,356,0,600,177,154,141,128,0,0,599,1,600,15.4,"1",0,0,0,177,0,0,0,0,154,0,0,0,0,140,1,0,0,0,128,0
"0100390","010039000165","1","1",63,"3",566,68,634,0,1090,348,278,246,218,0,4,1084,2,1090,17.3,"1",0,0,2,344,2,0,0,2,276,0,0,0,0,246,0,0,0,0,218,0
"0100390","010039000171","1","2",-2,"N",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"N",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"0100390","010039000176","1","1",40,"3",172,73,245,0,708,195,190,164,159,7,9,672,20,708,17.7,"1",0,1,1,188,5,0,1,0,186,3,0,2,4,151,7,0,3,4,147,5
"0100390","010039000177","1","2",-2,"N",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"N",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"0100390","010039000178","1","2",-2,"N",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"N",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"0100390","010039000181","4","2",-2,"N",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"N",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"0100390","010039000186","1","2",-2,"N",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"N",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"0100390","010039000188","1","2",-2,"N",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"N",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"0100390","010039000192","1","1",57,"3",476,44,520,0,1042,276,266,216,284,0,0,1042,0,1042,18.3,"1",0,0,0,276,0,0,0,0,266,0,0,0,0,216,0,0,0,0,284,0
"0100390","010039000194","1","1",50.5,"3",546,54,600,0,847,328,211,174,134,0,0,845,2,847,16.8,"1",0,0,0,327,1,0,0,0,211,0,0,0,0,174,0,0,0,0,133,1
"0100390","010039000198","1","1",57,"3",539,39,578,0,907,231,223,216,237,1,0,901,5,907,15.9,"1",0,0,0,226,5,0,1,0,222,0,0,0,0,216,0,0,0,0,237,0
"0100390","010039000527","1","2",-2,"N",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"N",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"0100390","010039001281","4","1",0,"3",3,0,3,0,22,14,7,1,0,0,0,22,0,22,-1,"1",0,0,0,14,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0
"0100390","010039001288","4","1",11,"4",44,1,45,0,67,27,11,5,4,1,0,66,0,67,6.1,"1",0,0,0,27,0,0,0,0,11,0,0,0,0,5,0,0,0,0,4,0
"0100390","010039001296","2","1",0,"4",-2,-2,-2,0,2,0,0,2,0,0,0,2,0,2,-1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"0100390","010039001316","3","1",0,"3",-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"1",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"0100390","010039001468","1","1",70,"3",691,73,764,0,1274,351,315,334,274,0,1,1269,4,1274,18.2,"1",0,0,0,351,0,0,0,0,312,3,0,0,1,332,1,0,0,0,274,0
"0100390","010039001643","1","2",-2,"N",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"N",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"0100390","010039001746","4","1",0,"3",-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039001761","4","1",0,"3",-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039001765","2","1",0,"3",2,1,3,0,6,3,0,3,0,0,0,6,0,6,-1,"1",0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"0102370","010237000898","1","1",46,"3",507,69,576,2,721,247,191,172,111,10,0,645,64,719,15.7,"2",0,5,0,228,12,0,3,0,165,23,0,2,0,153,17,0,0,0,99,12
"0102370","010237000899","1","1",81.8,"3",227,48,275,0,1524,492,355,380,297,15,21,278,1200,1520,18.6,"4",2,4,4,93,386,1,3,5,67,279,2,6,7,65,300,1,2,5,53,235
