"NCESSCH","LEAID","TYPE","STATUS","ULOCAL","FTE","LEVEL","FRELCH","REDLCH","TOTFRL","MEMBER","G09","G10","G11","G12","AM09","AS09","HI09","BL09","WH09","HP09","TR09","AM10","AS10","HI10","BL10","WH10","HP10","TR10","AM11","AS11","HI11","BL11","WH11","HP11","TR11","AM12","AS12","HI12","BL12","WH12","HP12","TR12","ASIAN","HISP","BLACK","WHITE"
"010039000073","0100390","3","1","12",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,-4,-4,-4,-4,-4,-4,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-10,-10,-10
"010039000079","0100390","2","1","12",NA,"4",NA,NA,NA,2,NA,NA,NA,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,1,0,0,0,-12,-12,-11,-12
"010039000138","0100390","4","1","12",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,-4,-4,-4,-4,-4,-4,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-10,-10,-10
"010039000141","0100390","1","1","12",60.4,"3",999,60,1059,1241,442,256,276,267,1,0,12,425,3,0,1,0,0,6,245,5,0,0,0,2,3,268,3,0,0,0,1,12,247,5,0,2,3,33,1185,16
"010039000164","0100390","1","1","21",68.5,"3",965,50,1015,1097,362,303,203,225,0,0,6,356,0,0,0,0,0,7,294,2,0,0,0,0,1,202,0,0,0,0,0,4,220,1,0,0,0,18,1072,3
"010039000165","0100390","1","1","12",54,"3",781,24,805,863,317,207,185,154,0,0,3,310,3,0,1,0,0,0,206,0,0,1,0,0,0,184,1,0,0,0,0,1,153,0,0,0,0,4,853,4
"010039000176","0100390","1","1","12",45,"3",361,67,428,705,190,181,123,211,0,1,0,188,1,0,0,0,1,2,177,1,0,0,0,0,0,120,3,0,0,0,1,1,208,1,0,0,3,3,693,6
"010039000192","0100390","1","1","12",51,"3",685,39,724,797,232,233,157,175,0,0,3,229,0,0,0,0,0,0,232,1,0,0,0,0,0,155,2,0,0,0,0,0,175,0,0,0,0,3,791,3
"010039000194","0100390","1","1","12",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,-4,-4,-4,-4,-4,-4,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-10,-10,-10
"010039000198","0100390","1","1","12",47.6,"3",857,25,882,916,262,216,226,211,0,0,9,249,3,0,1,0,0,4,210,2,0,0,0,0,7,218,1,0,0,0,0,10,198,3,0,0,0,30,875,9
"010039001281","0100390","4","1","12",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,-4,-4,-4,-4,-4,-4,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-10,-10,-10
"010039001288","0100390","4","1","12",1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,-8,-8,-8
"010039001296","0100390","2","1","12",NA,"4",NA,NA,NA,1,1,NA,NA,NA,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-6,-6,-5
"010039001316","0100390","3","1","12",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,-8,-8,-8
"010039001468","0100390","1","1","12",53,"3",804,38,842,919,306,192,217,204,0,1,13,290,1,0,1,0,1,8,179,2,2,0,0,0,15,201,1,0,0,0,1,10,192,1,0,0,3,46,862,5
"010039001629","0100390","2","1","12",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,-4,-4,-4,-4,-4,-4,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-10,-10,-10
