"NCESSCH","LEAID","TYPE09","STATUS09","ULOCAL09","FTE09","LEVEL09","FRELCH09","REDLCH09","TOTFRL09","MEMBER09","G0909","G1009","G1109","G1209","AM09","AS09","HI09","BL09","WH09","HP09","TR09","AM10","AS10","HI10","BL10","WH10","HP10","TR10","AM11","AS11","HI11","BL11","WH11","HP11","TR11","AM12","AS12","HI12","BL12","WH12","HP12","TR12","ASIAN","HISP","BLACK","WHITE"
"010237000906","0102370","1","1","42",44.2,"3",431,59,490,783,238,209,181,155,47,1,2,56,132,-4,-4,33,0,2,59,115,-4,-4,25,1,1,50,103,-4,-4,29,0,1,32,93,-4,-4,2,6,197,443
"010237000912","0102370","1","1","12",90.06,"3",750,99,849,1563,599,390,316,258,1,26,16,430,120,-4,-4,0,33,15,226,113,-4,-4,0,20,13,196,85,-4,-4,0,19,10,153,76,-4,-4,98,54,1005,394
"010237000929","0102370","1","1","12",0,"3",NA,NA,NA,0,NA,NA,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,-8,-8,-8,-8
"010237000934","0102370","1","1","41",99,"3",729,173,902,1815,590,511,377,337,5,3,9,72,499,-4,-4,1,4,7,77,422,-4,-4,0,0,6,49,321,-4,-4,2,0,4,49,282,-4,-4,7,26,247,1524
"010237000942","0102370","1","1","12",123,"3",1180,114,1294,2510,800,637,537,536,0,25,8,550,215,-4,-4,1,15,5,420,195,-4,-4,1,22,5,292,213,-4,-4,0,18,4,317,197,-4,-4,80,22,1579,820
"010237000953","0102370","1","1","21",62,"3",375,75,450,1042,245,217,309,271,3,2,2,52,186,-4,-4,2,1,2,37,174,-4,-4,4,2,2,64,235,-4,-4,1,0,3,50,217,-4,-4,5,9,203,812
"010237000962","0102370","1","1","12",49,"3",622,53,675,947,288,261,225,173,1,0,0,283,4,-4,-4,0,1,0,257,3,-4,-4,0,0,0,225,0,-4,-4,0,0,0,172,1,-4,-4,1,0,937,8
"010237000964","0102370","1","1","21",48.75,"3",739,25,764,908,307,271,163,167,0,0,0,305,2,-4,-4,0,0,0,269,2,-4,-4,0,0,0,160,3,-4,-4,0,0,0,167,0,-4,-4,0,0,901,7
"010237000969","0102370","1","1","12",58.8,"3",917,42,959,1111,352,321,221,217,0,0,1,345,6,-4,-4,0,2,1,316,2,-4,-4,0,1,0,218,1,-4,-4,0,1,0,216,0,-4,-4,4,2,1095,9
"010237000989","0102370","1","1","41",89,"3",769,117,886,1689,557,439,358,335,0,35,9,49,460,-4,-4,0,37,6,51,345,-4,-4,3,26,5,47,269,-4,-4,1,31,6,45,252,-4,-4,129,26,192,1326
"010237000999","0102370","4","1","12",NA,"4",10,1,11,14,5,2,0,1,0,0,0,1,4,-4,-4,0,0,0,0,2,-4,-4,0,0,0,0,0,-4,-4,0,0,0,1,0,-4,-4,0,0,2,6
"010237001000","0102370","4","1","12",0,"4",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
"010237001038","0102370","4","1","12",0,"4",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
"010237001040","0102370","4","1","12",NA,"4",44,3,47,58,36,11,5,6,0,1,0,32,3,-4,-4,0,0,0,10,1,-4,-4,0,0,0,5,0,-4,-4,0,0,0,5,1,-4,-4,1,0,52,5
"010237001083","0102370","3","1","21",12,"3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
"010237001086","0102370","3","1","41",13,"3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
"010237001586","0102370","4","1","41",0,"4",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
"010237001596","0102370","3","1","12",NA,"3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010237001600","0102370","2","1","21",0,"4",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
"010237001605","0102370","2","1","12",NA,"4",38,1,39,52,8,5,1,1,0,0,0,4,4,-4,-4,0,0,0,2,3,-4,-4,0,0,0,0,1,-4,-4,0,0,0,0,1,-4,-4,0,0,6,9
"010237001618","0102370","2","1","12",47,"4",137,12,149,230,22,18,19,79,0,0,0,16,6,-4,-4,0,2,0,11,5,-4,-4,0,0,0,14,5,-4,-4,0,0,0,47,32,-4,-4,2,0,88,48
"010237001625","0102370","2","1","12",0,"4",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
"010237001626","0102370","3","1","12",0,"3",NA,NA,NA,0,NA,0,0,0,-4,-4,-4,-4,-4,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,-4,-4,-4,-4
"010237001686","0102370","4","1","12",14,"4",50,0,50,54,15,15,3,5,0,0,0,14,1,-4,-4,0,0,1,11,3,-4,-4,0,0,0,2,1,-4,-4,0,0,0,4,1,-4,-4,0,1,31,6
"010237001688","0102370","1","1","21",87.3,"3",791,148,939,1731,583,489,317,342,4,18,13,125,423,-4,-4,5,15,5,104,360,-4,-4,1,9,3,70,234,-4,-4,3,11,5,64,259,-4,-4,53,26,363,1276
"010237001689","0102370","2","1","12",NA,"4",28,5,33,57,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
"010237002161","0102370","4","3","12",NA,"3",202,3,205,711,74,123,112,402,0,0,0,64,10,-4,-4,1,1,0,105,16,-4,-4,0,4,0,88,19,-4,-4,0,17,1,360,23,-4,-4,22,1,617,68
"061455001711","0614550","1","1","11",112.6,"3",677,190,867,2649,716,727,629,577,2,37,279,104,285,9,0,3,55,265,94,305,5,0,3,32,214,78,300,2,0,4,33,158,69,311,2,0,157,916,345,1201
"061455001720","0614550","4","1","11",19.2,"3",232,38,270,319,0,21,121,177,0,0,0,0,0,0,0,0,0,17,3,1,0,0,2,9,69,34,7,0,0,4,14,108,37,14,0,0,23,194,74,22
"061455001723","0614550","1","1","11",96,"3",1350,202,1552,2332,683,606,558,485,3,92,364,166,58,0,0,5,97,307,151,44,2,0,4,99,277,123,55,0,0,1,89,222,112,59,2,0,377,1170,552,216
"061455001730","0614550","1","1","11",140.6,"3",1914,354,2268,2676,766,760,642,508,7,61,506,82,105,5,0,6,59,499,86,110,0,0,5,64,418,76,76,3,0,2,68,305,63,67,3,0,252,1728,307,358
"061455001737","0614550","1","1","11",95.3,"3",1114,229,1343,1960,522,534,461,443,3,81,255,69,113,1,0,9,68,247,85,120,5,0,9,72,198,67,113,2,0,3,77,191,66,106,0,0,298,891,287,452
"061455001754","0614550","1","1","11",128,"3",1891,236,2127,2449,895,654,476,423,6,174,566,88,60,1,0,6,149,382,58,59,0,0,6,148,259,31,30,2,0,1,130,235,27,29,1,0,601,1442,204,178
"061455001762","0614550","1","1","11",128.7,"3",1934,253,2187,2426,724,670,581,451,6,87,562,39,29,1,0,3,89,530,18,28,2,0,2,100,435,18,26,0,0,2,76,334,14,24,1,0,352,1861,89,107
"061455001986","0614550","4","1","11",20.8,"3",373,52,425,452,2,34,166,250,0,0,2,0,0,0,0,0,2,26,5,1,0,0,0,24,119,18,5,0,0,1,35,171,26,17,0,0,61,318,49,23
"061455003024","0614550","2","1","11",7,"4",NA,NA,NA,NA,NA,NA,NA,NA,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-72,-72,-72,-72
"061455005749","0614550","4","1","11",34.75,"4",1407,11,1418,1498,301,456,394,308,5,11,198,30,55,2,0,7,26,310,38,73,2,0,6,26,256,38,66,2,0,3,26,198,32,49,0,0,89,962,138,243
"061455007497","0614550","1","1","11",16,"3",174,19,193,255,14,40,73,128,0,0,12,1,1,0,0,0,5,29,4,2,0,0,1,10,56,5,1,0,0,0,18,91,12,7,0,0,33,188,22,11
"061455007962","0614550","1","1","11",12,"3",NA,NA,NA,264,36,58,73,78,2,2,24,5,3,0,0,0,3,39,9,7,0,0,1,1,55,13,3,0,0,0,5,51,17,5,0,0,11,169,44,18
"061455007963","0614550","1","1","11",134.6,"3",2471,326,2797,3193,929,824,767,673,4,227,564,93,37,4,0,2,223,470,94,33,2,0,3,245,410,79,30,0,0,1,261,332,49,26,4,0,956,1776,315,126
"061455007964","0614550","2","1","11",8,"3",41,8,49,66,18,14,14,5,0,3,9,2,4,0,0,0,4,7,2,1,0,0,0,1,5,3,5,0,0,0,1,2,0,2,0,0,9,23,7,12
"061455007965","0614550","1","2","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-16,-16,-16,-16
"061455008697","0614550","1","1","11",15.5,"3",301,18,319,427,144,142,91,21,2,9,90,24,18,0,1,2,10,83,29,18,0,0,0,18,46,19,8,0,0,0,1,16,4,0,0,0,38,235,76,44
"061455008841","0614550","1","1","11",57.6,"3",772,111,883,988,297,259,218,214,0,80,168,15,32,2,0,1,119,116,7,16,0,0,0,94,105,4,14,1,0,1,115,83,3,12,0,0,408,472,29,74
"061455010775","0614550","1","1","11",11.75,"4",117,36,153,241,1,4,3,3,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,1,0,2,0,0,0,0,2,0,1,0,0,0,4,0,7
"061455010779","0614550","4","1","11",6,"3",158,26,184,222,59,55,55,53,0,8,37,4,9,1,0,2,4,26,6,17,0,0,0,11,32,1,11,0,0,0,8,36,2,7,0,0,31,131,13,44
"061455011846","0614550","1","1","11",41,"4",0,459,459,729,62,115,154,229,5,5,17,3,30,2,0,6,3,48,7,49,1,1,5,7,57,15,70,0,0,5,18,88,9,109,0,0,33,210,34,258
"061455011900","0614550","1","1","11",3.65,"3",31,6,37,50,49,0,0,0,0,1,35,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,6,7
"061455011911","0614550","1","1","11",19.25,"3",13,0,13,437,142,117,104,74,3,26,19,11,83,0,0,0,29,14,5,68,0,1,0,20,14,1,62,0,7,0,16,10,1,47,0,0,91,57,18,260
"061455012434","0614550","1","3","11",0,"3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"062250002728","0622500","1","1","11",163,"3",2638,504,3142,4056,1120,1065,982,886,2,69,726,251,32,39,1,0,63,675,250,36,32,9,1,63,619,241,24,33,1,1,76,549,211,14,33,2,271,2569,953,106
"062250002733","0622500","1","1","21",160,"3",1420,513,1933,4218,1110,1110,1074,921,4,120,481,192,286,16,11,3,122,456,181,315,20,13,6,142,427,187,295,14,3,1,122,348,146,288,14,2,506,1712,706,1184
"062250002745","0622500","1","1","11",179,"3",1973,440,2413,4291,1149,1098,1073,970,4,66,713,81,275,8,2,2,74,632,111,267,7,5,1,87,622,110,240,8,5,0,81,531,101,249,6,2,308,2498,403,1031
"062250002751","0622500","1","1","11",186.67,"3",2409,426,2835,4899,1273,1273,1206,1143,6,352,367,362,151,28,7,3,365,369,344,148,34,10,1,346,353,326,138,35,7,3,370,306,313,120,27,4,1433,1395,1345,557
"062250002753","0622500","4","1","11",15,"3",225,14,239,346,NA,NA,113,233,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,11,75,19,3,5,0,0,15,158,54,4,2,0,18,225,65,NA
"062250002769","0622500","1","1","11",171.5,"3",1714,380,2094,4346,1068,1172,1080,1024,3,101,501,132,325,2,4,2,132,544,156,320,7,11,6,128,474,130,332,6,4,6,152,371,124,357,7,7,513,1890,542,1334
"062250005870","0622500","1","1","11",140,"3",2432,412,2844,3532,986,911,899,735,2,110,665,168,18,23,0,2,90,628,152,12,25,2,1,109,619,129,19,21,1,0,86,470,143,7,26,3,395,2382,592,56
"062250007299","0622500","1","1","32",38,"4",294,103,397,645,49,56,46,60,0,0,37,1,11,0,0,0,0,34,1,21,0,0,0,1,36,0,9,0,0,0,1,41,0,18,0,0,2,148,2,59
"062250008720","0622500","4","1","11",22,"3",235,42,277,472,127,119,110,116,0,5,60,33,28,1,0,0,6,44,42,27,0,0,1,2,51,38,17,0,1,2,3,49,42,20,0,0,16,204,155,92
"062250009901","0622500","1","1","13",20,"3",180,99,279,625,172,162,149,142,0,57,62,28,23,1,1,1,59,52,25,20,2,3,0,51,57,23,16,2,0,0,60,41,23,18,0,0,227,212,99,77
"062250010239","0622500","4","1","11",22,"3",741,84,825,835,0,23,161,651,0,0,0,0,0,0,0,0,0,15,5,3,0,0,1,8,94,33,22,2,1,5,55,374,121,79,16,1,63,483,159,104
"062250011291","0622500","4","1","11",1,"3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"062250012163","0622500","1","1","11",2,"3",37,0,37,40,8,15,8,9,0,2,4,1,0,0,1,0,0,5,7,3,0,0,0,2,4,2,0,0,0,0,0,4,3,0,1,1,4,17,13,3
"062250012381","0622500","1","1","11",4,"3",64,3,67,70,35,34,1,0,0,0,30,2,3,0,0,0,0,30,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,61,5,4
"062271002112","0622710","2","1","11",22,"4",152,13,165,223,21,16,30,118,0,1,18,2,0,0,0,0,0,14,2,0,0,0,0,0,27,3,0,0,0,0,3,88,18,4,2,3,4,147,25,4
"062271002128","0622710","4","1","11",16,"3",238,10,248,290,40,83,89,77,0,0,35,5,0,0,0,0,0,65,18,0,0,0,0,0,67,22,0,0,0,0,0,62,15,0,0,0,0,229,60,0
"062271002801","0622710","4","1","11",5,"3",95,11,106,132,17,28,50,36,0,0,14,1,2,0,0,0,0,22,4,2,0,0,0,0,43,3,4,0,0,0,0,30,4,2,0,0,0,109,12,10
"062271002802","0622710","4","1","11",4,"3",53,0,53,64,21,20,11,9,0,0,15,0,4,2,0,0,0,13,2,5,0,0,0,0,8,1,2,0,0,0,1,7,1,0,0,0,1,43,4,11
"062271002806","0622710","4","1","11",5,"3",48,2,50,96,6,28,29,33,0,0,4,1,1,0,0,0,2,19,1,6,0,0,1,0,12,3,13,0,0,0,2,19,2,10,0,0,4,54,7,30
"062271002815","0622710","4","1","11",4,"3",44,5,49,68,0,45,20,3,0,0,0,0,0,0,0,0,0,29,3,12,0,1,0,0,18,0,0,0,2,0,0,2,1,0,0,0,0,49,4,12
"062271002830","0622710","4","1","11",5,"3",88,5,93,113,2,25,28,58,0,0,2,0,0,0,0,0,0,24,0,0,1,0,0,0,28,0,0,0,0,0,0,54,1,1,1,1,0,108,1,1
"062271002838","0622710","1","1","11",136.22,"3",2259,234,2493,3330,1266,921,691,450,3,3,1157,53,13,22,15,1,5,846,37,12,18,2,0,9,628,32,11,9,2,1,11,400,24,3,10,1,28,3031,146,39
"062271002844","0622710","1","1","21",168.32,"3",3604,126,3730,4301,1216,1266,1086,726,3,3,1190,3,16,0,1,3,4,1240,3,14,0,2,7,5,1062,0,10,0,2,1,1,718,0,6,0,0,13,4210,6,46
