"LEAID","NCESSCH","TYPE02","STATUS02","FTE02","LEVEL02","FRELCH02","REDLCH02","TOTFRL02","MIGRNT02","MEMBER02","G0902","G1002","G1102","G1202","ASIAN02","HISP02","BLACK02","WHITE02","TOTETH02","PUPTCH02","LOCALE","AM09","AS09","HI09","BL09","WH09","AM10","AS10","HI10","BL10","WH10","AM11","AS11","HI11","BL11","WH11","AM12","AS12","HI12","BL12","WH12"
"0100390","010039000073","1","1",0,"3",2,0,2,0,5,0,0,0,5,0,0,5,0,5,-1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"0100390","010039000122","1","1",70,"3",646,74,720,0,1041,317,279,228,213,0,0,1041,0,1041,14.9,"1",0,0,0,317,0,0,0,0,279,0,0,0,0,228,0,0,0,0,213,0
"0100390","010039000138","4","1",0,"3",-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"1",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"0100390","010039000141","1","1",89,"3",704,165,869,0,1731,643,487,287,314,2,7,1683,39,1731,19.4,"1",0,1,1,623,18,0,0,4,474,9,0,1,1,283,2,0,0,1,303,10
"0100390","010039000164","1","1",50,"3",352,71,423,0,641,171,154,161,155,0,0,640,1,641,12.8,"1",0,0,0,171,0,0,0,0,153,1,0,0,0,161,0,0,0,0,155,0
"0100390","010039000165","1","1",60.7,"3",613,67,680,0,1066,344,266,231,225,0,2,1063,1,1066,17.6,"1",0,0,2,341,1,0,0,0,266,0,0,0,0,231,0,0,0,0,225,0
"0100390","010039000176","1","1",43,"3",190,63,253,0,712,217,185,159,151,11,42,635,24,712,16.6,"1",0,2,23,187,5,0,6,12,159,8,0,2,5,148,4,0,1,2,141,7
"0100390","010039000192","1","1",55,"3",504,52,556,0,1000,298,302,226,174,0,0,999,1,1000,18.2,"1",0,0,0,298,0,0,0,0,301,1,0,0,0,226,0,0,0,0,174,0
"0100390","010039000194","1","1",54,"3",587,72,659,0,910,344,213,152,201,0,0,910,0,910,16.9,"1",0,0,0,344,0,0,0,0,213,0,0,0,0,152,0,0,0,0,201,0
"0100390","010039000198","1","1",74,"3",692,57,749,0,1288,442,352,264,230,0,3,1279,6,1288,17.4,"1",0,0,1,440,1,0,0,1,349,2,0,0,0,262,2,0,0,1,228,1
"0100390","010039001270","4","1",0,"3",-2,-2,-2,0,2,0,0,1,1,0,0,2,0,2,-1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"0100390","010039001281","4","1",0,"3",2,0,2,0,22,0,0,2,20,0,0,19,3,22,-1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,18,2
"0100390","010039001288","4","1",9,"3",55,1,56,0,66,40,17,8,1,0,0,66,0,66,7.3,"1",0,0,0,40,0,0,0,0,17,0,0,0,0,8,0,0,0,0,1,0
"0100390","010039001296","2","1",0,"4",1,0,1,0,4,0,1,1,1,0,0,4,0,4,-1,"1",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"0100390","010039001316","3","1",0,"3",-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"1",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"0100390","010039001468","1","1",68,"3",651,56,707,0,1315,353,421,318,223,0,1,1312,2,1315,19.3,"1",0,0,0,352,1,0,0,1,419,1,0,0,0,318,0,0,0,0,223,0
"0100390","010039001643","1","1",11,"3",3,6,9,0,338,72,80,64,53,29,5,60,244,338,30.7,"1",0,9,0,17,46,0,9,0,15,56,0,2,3,11,48,0,8,0,11,34
"0100390","010039001746","4","1",0,"3",-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"1",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"0100390","010039001761","4","1",0,"3",-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"1",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"0100390","010039001764","2","1",0,"4",2,1,3,0,8,1,0,0,1,0,0,7,1,8,-1,"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"0100390","010039001765","2","1",0,"3",1,0,1,0,19,2,5,2,9,0,0,19,0,19,-1,"1",0,0,0,2,0,0,0,0,5,0,0,0,0,2,0,0,0,0,9,0
"0102370","010237000898","1","1",45.5,"3",526,59,585,1,736,244,156,171,165,13,1,630,92,736,16.2,"2",0,7,0,205,32,0,2,0,138,16,0,1,0,144,26,0,3,1,143,18
"0102370","010237000899","1","1",78.3,"3",181,41,222,0,1439,440,369,327,303,17,12,257,1147,1439,18.4,"4",2,5,2,88,343,2,5,5,71,286,1,2,3,63,258,1,5,2,35,260
"0102370","010237000900","1","1",46,"3",547,42,589,0,700,212,170,174,144,0,0,700,0,700,15.2,"4",0,0,0,212,0,0,0,0,170,0,0,0,0,174,0,0,0,0,144,0
"0102370","010237000906","1","1",43,"3",345,82,427,0,653,221,168,144,120,0,0,169,411,653,15.2,"8",37,0,0,46,138,12,0,0,50,106,13,0,0,46,85,11,0,0,27,82
"0102370","010237000912","1","1",80,"3",429,70,499,32,1383,436,327,351,269,84,38,697,560,1383,17.3,"2",3,27,12,245,149,1,18,8,185,115,0,22,12,150,167,0,17,6,117,129
"0102370","010237000929","1","1",43.3,"3",437,98,535,0,722,230,177,158,157,6,4,637,73,722,16.7,"2",0,3,1,200,26,0,1,1,160,15,1,1,1,145,10,1,1,1,132,22
"0102370","010237000934","1","1",91,"3",399,146,545,17,1630,510,425,363,332,5,7,117,1497,1630,17.9,"4",1,2,3,45,459,2,1,2,30,390,1,1,1,17,343,0,1,1,25,305
"0102370","010237000942","1","1",125,"3",818,161,979,1,2278,737,578,543,420,45,23,1232,969,2278,18.2,"2",2,14,7,438,276,3,17,4,313,241,4,9,6,274,250,0,5,6,207,202
"0102370","010237000953","1","1",67.6,"3",173,61,234,0,1254,399,346,265,244,11,0,174,1061,1254,18.6,"4",4,7,0,57,331,4,3,0,50,289,0,1,0,36,228,0,0,0,31,213
"0102370","010237000962","1","1",83,"3",807,190,997,0,1498,442,362,351,343,0,1,1490,5,1498,18,"2",1,0,1,439,1,0,0,0,362,0,1,0,0,349,1,0,0,0,340,3
"0102370","010237000964","1","1",74,"3",821,98,919,0,1180,372,259,300,249,0,0,1101,77,1180,15.9,"4",1,0,0,351,20,0,0,0,244,15,0,0,0,283,17,1,0,0,223,25
"0102370","010237000969","1","1",58.5,"3",549,42,591,0,810,250,222,187,151,0,1,805,4,810,13.8,"2",0,0,0,248,2,0,0,1,219,2,0,0,0,187,0,0,0,0,151,0
"0102370","010237000989","1","1",83.2,"3",622,191,813,533,1457,471,404,336,246,111,1,239,1103,1457,17.5,"4",1,28,0,73,369,0,26,1,73,304,2,35,0,52,247,0,22,0,41,183
"0102370","010237000999","4","1",0,"4",14,0,14,0,17,7,5,1,0,0,0,12,5,17,-1,"2",0,0,0,3,4,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0
"0102370","010237001000","1","1",0,"4",-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"4",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"0102370","010237001038","4","1",0,"4",-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"2",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"0102370","010237001040","4","1",0,"3",19,2,21,0,28,11,7,4,6,0,0,19,9,28,-1,"2",0,0,0,9,2,0,0,0,3,4,0,0,0,4,0,0,0,0,3,3
"0102370","010237001083","3","1",11,"3",-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"4",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"0102370","010237001086","3","1",10,"3",-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"4",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"0102370","010237001618","2","1",42,"4",160,32,192,0,248,27,27,21,63,8,2,139,95,248,5.9,"2",0,1,1,9,16,0,1,0,17,9,0,0,0,16,5,2,1,1,34,25
