"LEAID","NCESSCH","TYPE05","STATUS05","FTE05","LEVEL05","FRELCH05","REDLCH05","TOTFRL05","MIGRNT05","MEMBER05","G0905","G1005","G1105","G1205","ASIAN05","HISP05","BLACK05","WHITE05","TOTETH05","PUPTCH05","LOCALE","AM09","AS09","HI09","BL09","WH09","AM10","AS10","HI10","BL10","WH10","AM11","AS11","HI11","BL11","WH11","AM12","AS12","HI12","BL12","WH12"
"0100390","010039000073","3","1",0,"3",-1,-1,-1,0,-1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,"1",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"0100390","010039000122","1","1",61,"3",560,67,627,0,855,315,168,207,164,0,1,854,0,855,14,"1",0,0,1,314,0,0,0,0,168,0,0,0,0,207,0,0,0,0,164,0
"0100390","010039000138","4","1",0,"3",-2,-2,-2,-1,0,0,0,0,0,0,0,0,0,0,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039000141","1","1",78,"3",578,103,681,0,1410,438,344,282,346,4,2,1379,25,1410,18.1,"1",0,1,0,430,7,0,2,2,335,5,0,0,0,277,5,0,1,0,337,8
"0100390","010039000164","1","1",38,"3",321,62,383,0,638,248,162,134,94,0,0,637,1,638,16.8,"1",0,0,0,248,0,0,0,0,162,0,0,0,0,133,1,0,0,0,94,0
"0100390","010039000165","1","1",69,"3",577,60,637,0,1015,346,213,226,230,0,7,1006,2,1015,14.7,"1",0,0,5,340,1,0,0,0,213,0,0,0,1,224,1,0,0,1,229,0
"0100390","010039000176","1","1",40,"3",147,54,201,0,650,170,147,163,170,2,2,638,8,650,16.3,"1",0,1,1,165,3,0,0,0,146,1,0,0,1,160,2,0,1,0,167,2
"0100390","010039000192","1","1",53,"3",467,52,519,0,812,228,195,188,201,0,0,812,0,812,15.3,"1",0,0,0,228,0,0,0,0,195,0,0,0,0,188,0,0,0,0,201,0
"0100390","010039000194","1","1",48,"3",545,52,597,0,781,276,200,156,149,0,0,780,1,781,16.3,"1",0,0,0,276,0,0,0,0,200,0,0,0,0,155,1,0,0,0,149,0
"0100390","010039000198","1","1",52,"3",531,41,572,0,707,238,170,135,164,0,0,702,5,707,13.6,"1",0,0,0,236,2,0,0,0,169,1,0,0,0,134,1,0,0,0,163,1
"0100390","010039001281","4","1",0,"3",13,2,15,0,18,9,6,3,0,0,0,18,0,18,-1,"1",0,0,0,9,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0
"0100390","010039001288","4","1",13,"4",72,5,77,0,89,25,14,11,4,0,0,89,0,89,6.8,"1",0,0,0,25,0,0,0,0,14,0,0,0,0,11,0,0,0,0,4,0
"0100390","010039001296","2","1",0,"4",-2,-2,-2,-1,0,0,0,0,0,0,0,0,0,0,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039001316","3","1",0,"3",-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,"1",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"0100390","010039001468","1","1",66,"3",693,86,779,0,1089,354,285,238,212,2,3,1079,5,1089,16.5,"1",0,1,1,350,2,0,1,0,283,1,0,0,0,237,1,0,0,2,209,1
