"LEAID","NCESSCH","TR10","AM10","AS10","BL10","HI10","oth10","HP10","WH10","TR11","AM11","AS11","BL11","HI11","oth11","HP11","WH11","TR12","AM12","AS12","BL12","HI12","oth12","HP12","WH12","TR09","AM09","AS09","BL09","HI09","oth09","HP09","WH09","total_g10","total_g11","total_g12","total_g9","total_enroll","FRELCH","REDLCH","TOTFRL","lunch_total"
"0102370","010237001618",0,0,0,21,0,32,0,11,0,0,0,16,2,26,0,8,5,0,2,54,1,81,0,19,2,0,0,15,2,35,0,16,64,52,162,70,348,182,15,197,197
"0102370","010237001686",0,0,0,18,2,24,0,4,0,0,0,20,0,20,0,0,0,1,0,16,1,21,0,3,0,0,0,15,0,21,0,6,48,40,42,42,172,61,0,61,61
"0102370","010237001688",8,4,9,98,20,382,1,242,6,4,13,103,15,326,1,184,12,0,9,99,19,358,0,219,8,8,11,115,20,387,0,225,764,652,716,774,2906,785,87,872,872
"0102370","010237002177",0,0,0,1,0,1,0,0,0,0,0,9,0,9,0,0,0,0,1,18,2,37,0,16,0,0,0,0,0,0,0,0,2,18,74,NA,94,29,0,29,29
"0614550","061455001711",14,3,38,67,400,687,5,160,11,5,36,58,294,574,3,167,7,3,47,49,274,518,7,131,20,5,45,89,378,744,5,202,1374,1148,1036,1488,5046,1141,343,1484,1484
"0614550","061455001720",0,1,0,1,3,6,0,1,2,0,0,9,33,48,0,4,2,0,2,11,97,126,0,14,0,0,0,0,0,0,0,0,12,96,252,0,360,144,20,164,164
"0614550","061455001723",8,2,77,86,432,685,2,78,3,1,65,67,399,586,1,50,8,2,63,79,338,560,3,67,9,1,79,95,525,766,1,56,1370,1172,1120,1532,5194,1508,537,2045,2045
"0614550","061455001730",14,5,30,54,452,612,2,55,3,3,35,44,349,471,3,34,4,1,27,37,336,442,1,36,6,8,27,55,464,629,2,67,1224,942,884,1258,4308,1496,436,1932,1932
"0614550","061455001737",12,3,54,52,276,460,4,59,10,5,54,53,235,420,4,59,12,5,50,27,212,360,2,52,12,0,62,70,328,540,4,64,920,840,720,1080,3560,1116,380,1496,1496
"0614550","061455001754",4,3,78,31,350,488,2,20,3,0,98,17,284,423,3,18,1,1,86,19,248,366,0,11,7,1,75,20,416,535,3,13,976,846,732,1070,3624,1330,327,1657,1657
"0614550","061455001762",4,1,45,29,519,617,0,19,4,3,51,23,407,499,1,10,4,1,31,28,367,447,0,16,7,5,52,31,512,633,0,26,1234,998,894,1266,4392,1618,377,1995,1995
"0614550","061455001986",0,0,0,1,10,12,0,1,1,1,14,23,156,204,0,9,1,2,30,37,196,277,1,10,0,0,0,0,0,0,0,0,24,408,554,0,986,376,85,461,461
"0614550","061455003024",0,0,0,2,0,2,0,0,0,0,0,0,1,3,0,2,0,0,0,1,5,9,0,3,0,0,0,0,3,3,0,0,4,6,18,6,34,12,1,13,13
"0614550","061455005749",0,2,0,7,29,40,0,2,4,0,3,12,79,109,0,11,2,4,6,13,72,109,1,11,0,1,0,2,11,17,0,3,80,218,218,34,550,225,38,263,263
"0614550","061455007963",4,3,154,58,562,809,4,24,5,4,141,40,440,647,1,16,3,5,165,40,389,620,1,17,9,2,142,56,582,820,1,28,1618,1294,1240,1640,5792,1950,672,2622,2622
"0614550","061455007964",0,0,1,1,3,8,0,3,0,0,0,0,4,4,0,0,0,0,0,0,7,11,0,4,0,0,1,0,9,10,0,0,16,8,22,20,66,12,13,25,25
"0614550","061455008841",2,0,51,8,208,279,1,9,2,0,49,8,210,278,1,8,2,2,53,5,137,210,0,11,3,0,46,9,250,325,2,15,558,556,420,650,2184,733,245,978,978
"0614550","061455010779",1,1,15,2,42,70,0,9,2,0,12,3,39,68,1,11,0,0,11,2,39,63,0,11,5,0,12,2,43,72,0,10,140,136,126,144,546,140,60,200,200
"0614550","061455012434",0,0,0,3,12,16,0,1,0,0,1,1,4,8,0,2,0,0,0,0,1,2,0,1,0,0,0,3,10,14,0,1,32,16,4,28,80,56,9,65,65
"0614550","061455013893",1,1,3,3,45,70,1,16,1,0,5,6,44,70,1,13,2,0,7,7,39,71,1,15,0,0,4,4,62,84,0,14,140,140,142,168,590,163,76,239,239
"0622500","062250002728",7,1,32,88,432,580,13,7,6,1,30,95,473,631,10,16,4,0,28,83,478,606,8,5,13,2,26,96,488,648,16,7,1160,1262,1212,1296,4930,1828,193,2021,2021
"0622500","062250002733",32,2,101,164,423,824,19,83,36,1,92,147,345,739,20,98,21,3,113,112,337,743,18,139,57,1,107,179,453,918,20,101,1648,1478,1486,1836,6448,1615,332,1947,1947
"0622500","062250002745",59,0,73,83,423,943,5,300,36,3,63,94,388,862,9,269,40,1,64,59,381,824,6,273,85,4,68,72,411,900,10,250,1886,1724,1648,1800,7058,1182,233,1415,1415
"0622500","062250002751",35,0,221,183,468,986,13,66,29,0,225,149,472,989,10,104,34,2,244,161,457,1007,17,92,51,0,198,160,540,1044,9,86,1972,1978,2014,2088,8052,2461,292,2753,2753
"0622500","062250002753",0,0,0,0,0,0,0,0,1,0,2,10,36,54,3,2,4,1,7,26,114,154,2,0,0,0,0,0,0,0,0,0,NA,108,308,NA,416,171,9,180,180
"0622500","062250002769",43,4,96,105,535,982,6,193,42,0,96,105,484,887,2,158,34,5,87,81,447,818,7,157,51,0,89,131,546,992,5,170,1964,1774,1636,1984,7358,2022,229,2251,2251
"0622500","062250005870",11,1,62,56,394,546,13,9,5,2,70,52,398,544,13,4,5,1,68,60,378,531,11,8,14,1,49,57,367,503,8,7,1092,1088,1062,1006,4248,1634,137,1771,1771
"0622500","062250007299",1,0,0,0,29,41,0,11,0,0,0,1,29,37,0,7,1,0,0,0,30,43,0,12,0,0,0,0,32,41,0,9,82,74,86,82,324,333,54,387,387
"0622500","062250008720",7,0,5,23,49,100,2,14,5,0,8,27,52,110,0,18,4,1,9,19,53,99,0,13,21,1,6,24,62,133,0,19,200,220,198,266,884,248,27,275,275
"0622500","062250009901",6,0,67,13,71,164,0,7,12,0,64,9,66,165,2,12,7,1,47,20,75,164,1,13,14,2,70,7,70,174,0,11,328,330,328,348,1334,264,39,303,303
"0622500","062250010239",2,0,3,12,19,41,1,4,3,0,8,40,127,202,3,21,7,2,18,88,392,563,11,45,0,0,0,0,1,1,0,0,82,404,1126,2,1614,451,2,453,453
"0622500","062250011291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"0622500","062250013001",2,0,6,9,45,65,1,2,3,0,0,9,30,46,0,4,3,0,3,5,29,43,0,3,0,0,0,0,0,0,0,0,130,92,86,0,308,113,12,125,125
"0622500","062250013105",17,1,22,16,83,183,4,40,13,0,20,23,74,175,0,45,17,0,18,12,73,165,0,45,30,2,29,11,106,221,0,43,366,350,330,442,1488,307,62,369,369
"0622500","062250013896",7,1,23,8,34,90,1,16,5,1,19,4,33,95,3,30,6,0,33,7,30,103,1,26,23,0,26,10,33,114,0,22,180,190,206,228,804,131,24,155,155
"0622500","062250014120",8,1,9,16,74,119,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,16,33,97,160,0,7,238,0,0,320,558,206,17,223,223
"0622710","062271002112",0,0,0,1,10,11,0,0,0,0,0,1,10,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,0,22,22,0,8,52,23,0,23,23
"0622710","062271002128",0,0,0,21,42,64,0,1,0,0,0,17,65,82,0,0,0,0,0,31,44,75,0,0,0,0,0,11,20,32,0,1,128,164,150,64,506,238,0,238,238
"0622710","062271002801",0,0,0,1,31,36,0,4,0,0,2,1,37,41,0,1,0,0,3,1,34,40,0,2,0,0,2,1,5,10,0,2,72,82,80,20,254,90,12,102,102
"0622710","062271002802",0,0,2,1,27,31,0,1,0,0,0,3,14,18,0,1,0,0,0,2,10,13,0,1,0,0,1,1,22,25,0,1,62,36,26,50,174,67,0,67,67
"0622710","062271002806",0,0,2,1,35,41,1,2,0,0,0,0,31,33,1,1,0,0,1,0,13,14,0,0,0,0,0,1,10,11,0,0,82,66,28,22,198,89,4,93,93
"0622710","062271002815",0,0,0,1,14,17,0,2,0,0,0,4,23,32,0,5,0,0,0,2,15,19,0,2,0,1,0,2,9,12,0,0,34,64,38,24,160,56,7,63,63
"0622710","062271002830",0,0,0,1,17,20,1,1,0,1,1,2,29,33,0,0,0,0,0,1,24,25,0,0,0,0,0,0,4,4,0,0,40,66,50,8,164,71,5,76,76
"0622710","062271002838",0,2,1,15,651,679,3,7,0,3,14,14,548,588,3,6,0,2,4,13,507,545,7,12,1,1,2,14,628,666,10,10,1358,1176,1090,1332,4956,2054,174,2228,2228
"0622710","062271002844",0,0,2,1,530,560,2,25,0,2,1,0,533,554,0,18,0,0,2,0,561,575,0,12,0,0,3,1,678,706,0,24,1120,1108,1150,1412,4790,2030,171,2201,2201
"0622710","062271002890",1,0,9,19,330,381,1,21,0,2,20,14,275,333,0,22,0,0,21,9,180,227,1,16,0,0,17,14,439,498,1,27,762,666,454,996,2878,1182,92,1274,1274
"0622710","062271002899",0,1,71,78,220,409,22,17,0,1,74,73,163,336,20,5,1,2,57,68,179,334,16,11,0,0,69,73,248,420,16,14,818,672,668,840,2998,906,151,1057,1057
"0622710","062271002908",0,1,3,21,154,183,0,4,0,0,3,17,128,156,0,8,0,2,1,6,91,104,0,4,0,2,1,9,103,116,0,1,366,312,208,232,1118,475,3,478,478
"0622710","062271002916",0,1,59,28,293,451,1,69,0,0,50,26,291,435,2,66,0,1,82,27,274,448,0,64,0,0,45,31,286,424,2,60,902,870,896,848,3516,1015,146,1161,1161
"0622710","062271002918",0,0,0,4,16,20,0,0,0,0,0,9,23,35,0,3,0,0,0,4,19,25,0,2,0,0,0,0,2,2,0,0,40,70,50,4,164,51,5,56,56
"0622710","062271002923",1,1,152,23,487,814,1,149,1,4,159,30,440,748,0,114,0,2,139,38,356,651,3,113,0,2,132,29,596,902,3,140,1628,1496,1302,1804,6230,1812,218,2030,2030
"0622710","062271002941",0,0,1,110,60,172,0,1,0,0,0,139,77,217,1,0,0,1,2,157,51,216,0,5,0,0,1,95,47,145,0,2,344,434,432,290,1500,581,34,615,615
"0622710","062271002965",0,0,0,117,103,222,0,2,0,0,0,112,108,223,0,3,0,1,2,135,89,230,0,3,0,1,1,126,88,217,0,1,444,446,460,434,1784,647,31,678,678
"0622710","062271002970",0,1,99,9,229,374,1,35,0,6,95,8,212,374,1,52,0,3,125,7,242,420,0,43,0,4,84,11,248,408,2,59,748,748,840,816,3152,1010,296,1306,1306
"0622710","062271002971",0,0,0,0,2,3,1,0,0,0,0,2,4,7,1,0,0,0,3,8,42,57,4,0,0,0,0,0,2,2,0,0,6,14,114,4,138,47,7,54,54
"0622710","062271002972",0,0,1,0,17,18,0,0,0,0,0,0,13,15,0,2,0,0,1,0,12,14,0,1,0,0,1,1,6,8,0,0,36,30,28,16,110,43,3,46,46
"0622710","062271002976",0,0,0,0,23,23,0,0,0,0,0,0,15,16,0,1,0,0,1,0,18,19,0,0,0,0,0,0,8,8,0,0,46,32,38,16,132,64,1,65,65
"0622710","062271002983",0,0,0,1,244,247,0,2,0,0,2,0,197,203,0,4,0,0,0,1,124,129,0,4,0,2,1,0,214,226,1,8,494,406,258,452,1610,1550,83,1633,1633
"0622710","062271002984",0,1,0,15,11,27,0,0,0,0,1,9,6,16,0,0,0,0,0,11,9,20,0,0,0,0,0,5,6,11,0,0,54,32,40,22,148,67,3,70,70
"0622710","062271002995",0,0,0,0,17,18,0,1,0,0,0,0,19,19,0,0,0,0,0,1,27,29,0,1,0,0,0,0,7,7,0,0,36,38,58,14,146,59,4,63,63
"0622710","062271002998",1,1,116,93,317,570,1,41,1,0,69,51,192,339,0,26,0,0,71,56,209,361,2,23,1,0,88,80,351,557,2,35,1140,678,722,1114,3654,1258,202,1460,1460
"0622710","062271003017",0,0,1,20,160,182,1,0,0,0,0,23,164,187,0,0,0,0,1,19,145,166,0,1,0,0,2,22,194,219,0,1,364,374,332,438,1508,1623,111,1734,1734
"0622710","062271003020",0,0,41,5,600,669,0,23,0,0,28,6,568,618,1,15,0,0,38,7,605,675,2,23,0,2,25,2,628,677,2,18,1338,1236,1350,1354,5278,2099,213,2312,2312
"0622710","062271003021",1,2,20,5,322,355,0,5,0,3,20,1,277,306,0,5,0,1,15,2,253,277,0,6,0,3,11,4,375,408,3,12,710,612,554,816,2692,1177,105,1282,1282
"0622710","062271003023",0,0,1,44,407,455,0,3,0,0,0,29,422,452,0,1,0,0,1,33,364,402,0,4,0,0,0,68,597,671,0,6,910,904,804,1342,3960,1818,55,1873,1873
"0622710","062271003029",0,1,10,1,145,163,0,6,0,0,11,2,151,169,1,4,0,0,8,4,130,144,0,2,0,1,14,3,209,238,2,9,326,338,288,476,1428,1282,61,1343,1343
"0622710","062271003034",1,0,19,79,247,354,2,6,0,1,26,69,208,313,4,5,0,2,24,74,173,279,2,4,0,0,18,93,298,417,5,3,708,626,558,834,2726,1030,129,1159,1159
"0622710","062271003037",0,0,3,4,625,636,0,4,0,1,1,1,622,627,0,2,0,0,4,1,574,581,0,2,0,2,2,4,716,725,0,1,1272,1254,1162,1450,5138,2174,182,2356,2356
"0622710","062271003052",0,0,21,21,269,493,0,182,0,2,19,12,200,401,0,168,0,0,16,15,231,432,1,169,0,5,18,15,379,660,1,242,986,802,864,1320,3972,1501,174,1675,1675
"0622710","062271003055",0,1,0,1,28,30,0,0,0,0,0,1,22,26,0,3,0,0,0,2,19,25,0,4,0,0,0,0,15,18,0,3,60,52,50,36,198,86,5,91,91
"0622710","062271003064",1,4,40,200,394,758,1,118,0,3,27,144,323,601,3,101,0,2,26,149,313,585,2,93,0,1,43,186,319,658,0,109,1516,1202,1170,1316,5204,1457,244,1701,1701
"0622710","062271003070",0,0,0,4,25,30,0,1,0,0,0,5,21,28,0,2,0,0,0,6,37,43,0,0,0,0,2,1,20,23,0,0,60,56,86,46,248,116,0,116,116
"0622710","062271003082",0,1,0,0,19,20,0,0,0,0,0,1,26,28,0,1,0,0,0,0,14,15,0,1,0,0,0,1,2,3,0,0,40,56,30,6,132,58,2,60,60
"0622710","062271003088",0,0,24,49,272,392,1,46,0,2,33,38,218,320,0,29,1,0,24,39,215,334,3,52,0,2,30,55,304,435,0,44,784,640,668,870,2962,1185,91,1276,1276
"0622710","062271003093",0,0,0,4,18,22,0,0,0,0,0,7,21,28,0,0,0,0,0,1,12,13,0,0,0,0,0,3,10,13,0,0,44,56,26,26,152,75,0,75,75
"0622710","062271003098",0,0,1,4,309,317,0,3,0,0,1,3,337,343,0,2,0,0,2,4,294,301,0,1,0,0,1,5,418,426,0,2,634,686,602,852,2774,1219,72,1291,1291
"0622710","062271003100",0,0,1,2,31,34,0,0,0,1,0,0,29,35,0,5,0,0,0,4,26,32,0,2,0,0,0,1,10,11,0,0,68,70,64,22,224,77,5,82,82
"0622710","062271003106",0,0,0,14,155,171,0,2,0,0,0,23,139,163,0,1,0,0,0,10,102,116,1,3,0,1,1,23,169,194,0,0,342,326,232,388,1288,585,18,603,603
"0622710","062271003107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,142,214,2,46,0,0,0,0,0,0,0,0,0,0,428,0,428,116,24,140,140
"0622710","062271003108",0,1,40,18,473,609,0,77,0,0,22,15,458,544,0,49,0,1,30,10,382,463,1,39,1,1,42,20,592,733,5,72,1218,1088,926,1466,4698,1425,339,1764,1764
"0622710","062271003109",0,0,0,11,104,115,0,0,0,1,0,13,88,102,0,0,0,0,0,13,74,87,0,0,0,0,0,53,159,215,0,3,230,204,174,430,1038,469,12,481,481
"0622710","062271003110",0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,1,0,0,23,52,204,284,1,4,0,0,0,0,0,0,0,0,0,22,568,0,590,204,18,222,222
"0622710","062271003134",0,0,0,0,29,30,0,1,0,0,0,1,21,24,0,2,0,0,0,1,18,19,0,0,0,0,0,1,7,8,0,0,60,48,38,16,162,64,9,73,73
"0622710","062271003139",0,0,57,3,188,252,0,4,0,0,61,9,161,234,0,3,1,0,62,2,157,226,0,4,0,0,73,9,267,354,0,5,504,468,452,708,2132,953,48,1001,1001
"0622710","062271003146",0,0,0,3,35,39,0,1,0,0,1,4,25,34,0,4,0,0,0,0,30,31,0,1,0,0,0,0,14,16,0,2,78,68,62,32,240,115,2,117,117
"0622710","062271003151",0,1,15,30,317,372,1,8,0,0,20,43,220,287,0,4,1,0,20,27,190,242,1,3,0,1,13,40,290,349,0,5,744,574,484,698,2500,959,55,1014,1014
"0622710","062271003163",2,2,2,57,253,319,0,3,0,0,1,49,298,353,1,4,0,0,2,57,314,377,0,4,2,0,1,38,247,290,0,2,638,706,754,580,2678,1175,30,1205,1205
"0622710","062271003171",2,1,149,19,378,668,5,114,3,1,135,18,335,578,0,86,0,1,134,6,317,552,5,89,1,0,119,14,346,583,3,100,1336,1156,1104,1166,4762,1444,301,1745,1745
"0622710","062271003181",0,0,0,2,15,17,0,0,0,0,0,0,13,13,0,0,0,0,0,0,17,17,0,0,0,0,0,1,10,11,0,0,34,26,34,22,116,54,1,55,55
"0622710","062271003189",0,0,0,0,22,23,0,1,0,0,0,0,24,24,0,0,0,0,0,1,23,24,0,0,1,0,0,0,5,6,0,0,46,48,48,12,154,67,1,68,68
"0622710","062271003190",0,0,0,4,14,20,0,2,0,0,0,0,13,13,0,0,0,0,0,2,4,6,0,0,0,0,0,0,4,4,0,0,40,26,12,8,86,35,1,36,36
"0622710","062271003193",0,0,23,19,472,536,4,18,0,1,22,20,356,416,2,15,0,0,29,19,452,510,2,8,0,2,20,14,554,609,0,19,1072,832,1020,1218,4142,1744,74,1818,1818
"0622710","062271003197",0,0,0,0,20,20,0,0,0,0,0,0,10,10,0,0,0,0,0,0,20,20,0,0,0,0,0,0,9,9,0,0,40,20,40,18,118,51,2,53,53
"0622710","062271003201",0,0,0,0,14,17,0,3,0,0,0,2,11,14,0,1,0,1,1,0,5,9,0,2,0,0,0,0,5,7,0,2,34,28,18,14,94,30,8,38,38
"0622710","062271003209",0,1,55,108,356,538,8,10,0,2,43,104,333,514,6,26,1,0,45,128,341,543,7,21,0,5,31,124,385,581,10,26,1076,1028,1086,1162,4352,1447,201,1648,1648
"0622710","062271003214",0,0,0,2,42,44,0,0,0,0,0,3,40,44,0,1,0,0,3,0,29,34,0,2,0,0,1,1,22,24,0,0,88,88,68,48,292,138,3,141,141
"0622710","062271003230",0,2,70,27,439,651,1,112,0,3,56,15,379,545,2,90,0,2,63,23,391,573,1,93,0,4,81,27,509,753,3,129,1302,1090,1146,1506,5044,1542,252,1794,1794
"0622710","062271003235",0,0,0,0,27,27,0,0,0,0,0,0,30,30,0,0,0,0,0,0,22,23,0,1,0,0,0,0,4,4,0,0,54,60,46,8,168,63,6,69,69
"0622710","062271003257",0,0,1,1,16,19,0,1,0,0,0,0,42,43,0,1,0,0,1,0,30,33,0,2,0,0,0,0,11,11,0,0,38,86,66,22,212,95,3,98,98
"0622710","062271003276",0,0,1,11,14,26,0,0,0,0,0,5,13,20,0,2,0,0,0,3,9,16,2,2,0,0,0,1,6,7,0,0,52,40,32,14,138,47,3,50,50
"0622710","062271003279",0,0,1,0,11,13,0,1,0,0,1,7,18,29,0,3,0,0,0,1,6,7,0,0,0,0,0,3,3,6,0,0,26,58,14,12,110,34,3,37,37
"0622710","062271003292",0,0,0,0,13,13,0,0,0,0,0,0,4,4,0,0,0,0,0,0,44,44,0,0,0,0,0,1,9,10,0,0,26,8,88,20,142,63,2,65,65
"0622710","062271003296",0,0,0,0,18,18,0,0,0,0,0,0,13,13,0,0,0,0,0,0,8,8,0,0,0,0,0,0,6,6,0,0,36,26,16,12,90,47,0,47,47
"0622710","062271003301",0,2,44,20,253,379,0,60,0,1,35,14,232,326,0,44,1,0,17,22,264,349,1,44,0,0,23,20,223,308,0,42,758,652,698,616,2724,1049,79,1128,1128
"0622710","062271003313",0,0,0,0,58,58,0,0,0,0,0,5,86,91,0,0,0,0,0,0,30,30,0,0,0,0,0,1,10,11,0,0,116,182,60,22,380,170,7,177,177
"0622710","062271003314",0,0,0,2,30,33,0,1,0,0,1,1,34,38,0,2,0,0,2,4,76,83,0,1,0,0,0,0,8,8,0,0,66,76,166,16,324,153,0,153,153
"0622710","062271003315",0,0,1,0,313,314,0,0,0,0,2,1,297,302,0,2,0,0,1,1,303,306,0,1,0,0,2,2,348,356,0,4,628,604,612,712,2556,1152,61,1213,1213
"0622710","062271003322",0,0,1,0,56,57,0,0,0,0,0,0,39,39,0,0,0,0,0,0,23,23,0,0,0,0,0,0,42,42,0,0,114,78,46,84,322,150,2,152,152
"0622710","062271003325",3,0,3,6,592,615,0,11,2,1,3,8,409,435,1,11,2,3,4,12,433,458,0,4,0,1,6,7,553,572,0,5,1230,870,916,1144,4160,1625,223,1848,1848
"0622710","062271003330",0,5,40,45,455,667,9,113,0,0,22,40,392,558,5,99,0,5,24,42,310,480,3,96,0,5,42,71,436,693,8,131,1334,1116,960,1386,4796,1286,247,1533,1533
"0622710","062271003364",0,2,0,2,596,609,2,7,0,1,0,4,575,586,0,6,0,0,0,2,525,528,0,1,0,1,0,2,704,714,0,7,1218,1172,1056,1428,4874,1975,189,2164,2164
"0622710","062271003376",0,0,0,2,22,29,0,5,0,0,3,1,18,25,0,3,0,0,1,4,16,23,0,2,0,0,0,1,12,14,0,1,58,50,46,28,182,74,6,80,80
"0622710","062271003378",0,0,1,1,101,105,0,2,0,0,2,1,76,82,0,3,0,0,1,2,67,71,0,1,0,0,5,1,108,118,0,4,210,164,142,236,752,1325,60,1385,1385
"0622710","062271003385",0,1,3,3,359,384,0,18,0,0,1,4,339,352,0,8,0,1,5,3,340,361,1,11,0,1,10,10,421,455,1,12,768,704,722,910,3104,1128,165,1293,1293
"0622710","062271003387",0,1,66,47,219,588,1,254,1,4,51,54,191,545,0,244,0,3,59,45,183,498,0,208,0,3,72,55,309,707,0,268,1176,1090,996,1414,4676,1158,285,1443,1443
"0622710","062271003395",0,0,6,5,75,89,0,3,0,1,2,5,67,77,0,2,0,1,3,16,49,73,0,4,0,0,4,8,72,87,0,3,178,154,146,174,652,777,143,920,920
"0622710","062271003397",0,0,0,5,16,21,0,0,0,0,0,5,13,18,0,0,0,0,0,4,12,16,0,0,0,0,0,0,8,8,0,0,42,36,32,16,126,60,0,60,60
"0622710","062271003398",0,0,0,7,20,32,0,5,0,0,2,2,27,40,0,9,0,0,1,2,9,19,0,7,0,0,0,0,4,8,0,4,64,80,38,16,198,85,3,88,88
"0622710","062271003413",1,1,40,108,243,447,1,53,0,0,19,81,160,307,2,45,0,0,26,77,191,336,3,39,0,0,47,111,207,421,0,56,894,614,672,842,3022,927,184,1111,1111
"0622710","062271003416",0,0,2,3,13,41,0,23,0,0,4,1,14,32,0,13,0,0,3,0,8,26,0,15,0,0,7,4,18,53,0,24,82,64,52,106,304,389,54,443,443
"0622710","062271003424",0,2,118,30,460,707,3,94,0,2,133,29,375,606,2,65,1,2,139,15,299,535,4,75,1,0,105,33,560,786,5,82,1414,1212,1070,1572,5268,1842,157,1999,1999
"0622710","062271003429",1,2,49,80,335,547,2,78,0,1,49,65,279,463,1,68,0,1,36,47,254,398,0,60,1,1,39,85,369,576,3,78,1094,926,796,1152,3968,1122,149,1271,1271
"0622710","062271003430",0,1,19,6,199,337,1,111,0,2,21,12,180,306,0,91,0,1,24,13,178,327,0,111,0,1,22,8,195,327,0,101,674,612,654,654,2594,796,175,971,971
"0622710","062271003435",0,0,0,2,5,7,0,0,0,0,0,7,9,17,0,1,0,0,0,9,29,39,0,1,0,0,0,0,1,1,0,0,14,34,78,2,128,51,1,52,52
