"LEAID","NCESSCH","TR10","AM10","AS10","BL10","HI10","oth10","HP10","WH10","TR11","AM11","AS11","BL11","HI11","oth11","HP11","WH11","TR12","AM12","AS12","BL12","HI12","oth12","HP12","WH12","TR09","AM09","AS09","BL09","HI09","oth09","HP09","WH09","total_g10","total_g11","total_g12","total_g9","total_enroll","FRELCH","REDLCH","TOTFRL","lunch_total"
"0100390","010039000141",2,2,1,302,13,323,0,3,1,0,0,236,13,254,0,4,1,0,1,260,16,280,0,2,3,0,1,260,26,294,0,4,646,508,560,588,2302,732,90,822,822
"0100390","010039000164",1,0,0,188,5,194,0,0,2,3,0,184,2,193,1,1,0,2,0,160,3,166,0,1,3,2,2,222,8,240,2,1,388,386,332,480,1586,677,41,718,718
"0100390","010039000165",1,0,0,137,8,148,0,2,1,0,0,112,8,121,0,0,0,0,0,145,5,150,0,0,1,0,0,181,25,207,0,0,296,242,300,414,1252,525,36,561,561
"0100390","010039000176",1,1,1,211,2,217,1,0,3,0,0,192,5,200,0,0,0,2,0,160,1,168,0,5,6,0,0,204,6,216,0,0,434,400,336,432,1602,370,115,485,485
"0100390","010039000192",1,1,0,163,4,170,0,1,0,1,0,161,6,169,1,0,0,0,0,129,0,130,0,1,1,0,0,186,3,192,1,1,340,338,260,384,1322,529,32,561,561
"0100390","010039000198",2,0,0,180,10,195,0,3,1,1,0,141,11,154,0,0,0,1,0,159,5,167,1,1,4,2,0,204,18,231,0,3,390,308,334,462,1494,645,33,678,678
"0100390","010039001468",0,0,0,150,24,176,0,2,3,0,0,124,20,151,0,4,2,1,0,169,30,210,1,7,2,0,0,193,26,223,0,2,352,302,420,446,1520,622,37,659,659
"0100390","010039001761",0,0,0,5,0,6,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,12,0,0,12,6,0,24,42,20,0,20,20
"0102370","010237000898",0,0,1,152,5,164,0,6,0,0,0,156,4,163,0,3,1,0,0,160,6,172,0,5,0,0,0,169,10,187,0,8,328,326,344,374,1372,591,25,616,616
"0102370","010237000899",16,2,20,171,46,607,0,352,14,1,16,212,37,610,0,330,15,3,21,219,34,682,0,390,15,5,29,216,45,679,1,368,1214,1220,1364,1358,5156,951,119,1070,1070
"0102370","010237000900",4,1,0,234,1,242,0,2,2,0,0,234,3,239,0,0,2,0,0,240,3,246,0,1,0,0,0,282,7,293,0,4,484,478,492,586,2040,849,31,880,880
"0102370","010237000906",8,28,0,48,1,215,0,130,14,24,1,38,7,170,0,86,13,33,0,52,4,211,1,108,15,33,0,42,5,216,0,121,430,340,422,432,1624,515,50,565,565
"0102370","010237000912",14,2,30,250,23,436,0,117,7,3,25,200,17,356,4,100,14,2,17,176,19,334,1,105,9,5,38,277,30,502,1,142,872,712,668,1004,3256,901,84,985,985
"0102370","010237000934",13,4,3,90,17,478,0,351,10,4,2,107,12,465,1,329,10,5,1,107,19,470,1,327,10,7,3,121,30,564,0,393,956,930,940,1128,3954,943,116,1059,1059
"0102370","010237000942",5,0,4,276,13,357,1,58,13,0,3,269,14,372,0,73,5,1,9,301,13,401,2,70,5,0,2,277,13,362,0,65,714,744,802,724,2984,918,68,986,986
"0102370","010237000962",2,0,0,178,1,181,0,0,1,0,0,150,3,154,0,0,2,1,0,119,2,124,0,0,1,0,0,183,2,187,0,1,362,308,248,374,1292,516,24,540,540
"0102370","010237000964",0,0,0,136,0,136,0,0,0,1,0,129,0,130,0,0,2,0,0,173,3,179,0,1,1,0,0,111,0,112,0,0,272,260,358,224,1114,468,12,480,480
"0102370","010237000969",1,0,0,95,1,97,0,0,1,0,0,104,0,106,0,1,1,0,0,114,1,118,0,2,1,0,0,139,3,143,0,0,194,212,236,286,928,719,13,732,732
"0102370","010237000989",12,1,37,47,21,457,2,337,12,2,34,48,15,436,0,325,12,2,25,52,17,350,0,242,16,1,26,51,22,472,0,356,914,872,700,944,3430,934,108,1042,1042
"0102370","010237001605",0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,4,0,3,2,4,2,8,16,34,0,34,34
