"LEAID","NCESSCH","TYPE98","STATUS98","FTE98","FRELCH98","REDLCH98","TOTFRL98","MIGRNT98","MEMBER98","G0998","G1098","G1198","G1298","ASIAN98","HISP98","BLACK98","WHITE98","TOTETH98","PUPTCH98","LOCALE","AM09","AS09","HI09","BL09","WH09","AM10","AS10","HI10","BL10","WH10","AM11","AS11","HI11","BL11","WH11","AM12","AS12","HI12","BL12","WH12"
"0100390","010039000073","1","1",0,4,0,4,NA,7,0,0,2,5,0,0,6,1,7,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,1
"0100390","010039000110","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039000122","1","1",80,134,27,161,NA,1389,501,326,337,214,1,0,1382,6,1389,17.4,"1",0,0,0,499,2,0,0,0,324,2,0,0,0,337,0,0,1,0,212,1
"0100390","010039000138","4","1",0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039000141","1","1",71,494,72,566,NA,1445,647,282,280,236,13,1,1324,107,1445,20.4,"1",0,7,1,594,45,0,1,0,267,14,0,4,0,248,28,0,1,0,215,20
"0100390","010039000164","1","1",55,326,39,365,NA,846,212,310,197,127,0,0,846,0,846,15.4,"1",0,0,0,212,0,0,0,0,310,0,0,0,0,197,0,0,0,0,127,0
"0100390","010039000165","1","1",58,239,25,264,NA,1198,421,327,262,188,0,0,1195,3,1198,20.7,"1",0,0,0,419,2,0,0,0,326,1,0,0,0,262,0,0,0,0,188,0
"0100390","010039000168","1","1",68,1029,4,1033,NA,1088,375,325,184,203,1,2,1080,5,1088,16,"1",0,1,1,371,2,0,0,1,322,2,0,0,0,184,0,0,0,0,202,1
"0100390","010039000176","1","1",38,77,20,97,NA,650,167,145,176,162,16,6,562,65,650,17.1,"1",0,2,2,151,12,1,6,1,127,10,0,5,3,140,28,0,3,0,144,15
"0100390","010039000192","1","1",47,360,34,394,NA,1054,302,271,278,203,0,0,1053,1,1054,22.4,"1",0,0,0,302,0,0,0,0,271,0,0,0,0,278,0,0,0,0,202,1
"0100390","010039000194","1","1",61,449,47,496,NA,1129,362,293,247,227,0,0,1129,0,1129,18.5,"1",0,0,0,362,0,0,0,0,293,0,0,0,0,247,0,0,0,0,227,0
"0100390","010039000198","1","1",78,518,44,562,NA,1449,454,456,289,250,1,0,1429,19,1449,18.6,"1",0,0,0,445,9,0,0,0,451,5,0,0,0,286,3,0,1,0,247,2
"0100390","010039000235","2","1",0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039000245","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039001281","4","4",0,17,0,17,NA,20,15,2,3,0,0,0,19,1,20,0,"1",0,0,0,14,1,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0
"0100390","010039001288","4","4",0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039001296","2","4",0,NA,NA,NA,NA,4,0,1,0,2,0,0,1,3,4,0,"1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
"0100390","010039001312","2","4",0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039001316","3","4",0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039001487","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039001643","1","1",13,18,7,25,NA,298,74,71,86,67,12,3,100,183,298,22.9,"1",0,5,0,23,46,0,1,1,24,45,0,4,1,30,51,0,2,1,23,41
"0100390","010039001746","4","1",0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039001761","4","1",0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039001765","2","1",0,NA,NA,NA,NA,9,4,2,1,2,0,0,9,0,9,0,"1",0,0,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0
