"LEAID","NCESSCH","TYPE04","STATUS04","FTE04","LEVEL04","FRELCH04","REDLCH04","TOTFRL04","MIGRNT04","MEMBER04","G0904","G1004","G1104","G1204","ASIAN04","HISP04","BLACK04","WHITE04","TOTETH04","PUPTCH04","LOCALE","AM09","AS09","HI09","BL09","WH09","AM10","AS10","HI10","BL10","WH10","AM11","AS11","HI11","BL11","WH11","AM12","AS12","HI12","BL12","WH12"
"0100390","010039000073","3","1",-1,"3",3,1,4,0,7,0,0,2,5,0,0,7,0,7,-1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0
"0100390","010039000122","1","1",55,"3",600,56,656,0,891,239,239,215,198,0,1,890,0,891,16.1999999880791,"1",0,0,1,238,0,0,0,0,239,0,0,0,0,215,0,0,0,0,198,0
"0100390","010039000138","4","1",-1,"3",-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,-1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039000141","1","1",76,"3",511,99,610,0,1315,350,323,365,277,3,6,1285,20,1315,17.2999999523163,"1",1,2,3,340,4,0,0,0,316,7,0,1,1,356,7,0,0,2,273,2
"0100390","010039000164","1","1",38,"3",345,54,399,0,587,216,183,81,107,0,0,587,0,587,15.3999999761581,"1",0,0,0,216,0,0,0,0,183,0,0,0,0,81,0,0,0,0,107,0
"0100390","010039000165","1","1",64,"3",608,83,691,0,1057,321,262,255,219,0,4,1052,1,1057,16.5,"1",0,0,2,319,0,0,0,2,259,1,0,0,0,255,0,0,0,0,219,0
"0100390","010039000176","1","1",41,"3",178,56,234,0,665,164,169,177,155,2,3,650,10,665,16.1999999880791,"1",0,0,0,164,0,0,0,1,165,3,0,1,0,174,2,0,1,2,147,5
"0100390","010039000192","1","1",58,"3",427,47,474,0,793,201,197,201,194,0,1,792,0,793,13.6999999880791,"1",0,0,1,200,0,0,0,0,197,0,0,0,0,201,0,0,0,0,194,0
"0100390","010039000194","1","1",46,"3",559,49,608,0,809,281,214,163,151,0,0,808,1,809,17.5999999642372,"1",0,0,0,281,0,0,0,0,213,1,0,0,0,163,0,0,0,0,151,0
"0100390","010039000198","1","1",51,"3",456,53,509,0,691,226,137,175,153,0,0,690,1,691,13.5,"1",0,0,0,226,0,0,0,0,136,1,0,0,0,175,0,0,0,0,153,0
"0100390","010039001281","4","1",-1,"3",1,0,1,0,21,7,13,1,0,0,0,20,1,21,-1,"1",0,0,0,6,1,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0
"0100390","010039001288","4","1",13,"4",51,3,54,0,74,16,14,9,7,0,0,74,0,74,5.69999998807907,"1",0,0,0,16,0,0,0,0,14,0,0,0,0,9,0,0,0,0,7,0
"0100390","010039001296","2","1",-1,"4",-1,-1,-1,0,4,2,0,0,2,0,0,4,0,4,-1,"1",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"0100390","010039001316","3","1",-1,"3",-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,"1",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"0100390","010039001468","1","1",67,"3",712,64,776,0,1207,384,299,243,281,0,3,1202,2,1207,18,"1",0,0,0,384,0,0,0,0,299,0,0,0,2,240,1,0,0,1,279,1
"0100390","010039001628","4","7",-2,"N",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"1",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"0100390","010039001629","2","3",-1,"3",-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,-1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039001746","4","1",-1,"3",-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,-1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039001761","4","1",-1,"3",-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,-1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
