"LEAID","NCESSCH","TYPE00","STATUS00","FTE00","LEVEL00","FRELCH00","REDLCH00","TOTFRL00","MIGRNT00","MEMBER00","G0900","G1000","G1100","G1200","ASIAN00","HISP00","BLACK00","WHITE00","TOTETH00","PUPTCH00","LOCALE","AM09","AS09","HI09","BL09","WH09","AM10","AS10","HI10","BL10","WH10","AM11","AS11","HI11","BL11","WH11","AM12","AS12","HI12","BL12","WH12"
"0100390","010039000063","2","2",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039000073","1","1",0,"3",3,0,3,NA,6,0,2,3,1,0,0,5,1,6,0,"1",0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1
"0100390","010039000122","1","1",76,"3",194,28,222,NA,1132,372,242,242,271,0,0,1129,3,1132,14.9,"1",0,0,0,372,0,0,0,0,241,1,0,0,0,242,0,0,0,0,269,2
"0100390","010039000125","1","2",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039000138","4","1",0,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039000141","1","1",75,"3",416,70,486,NA,1534,534,392,356,252,7,6,1469,52,1534,20.5,"1",0,3,2,520,9,0,0,2,376,14,0,4,2,333,17,0,0,0,240,12
"0100390","010039000164","1","1",56,"3",139,22,161,NA,783,213,213,175,182,0,0,783,0,783,14,"1",0,0,0,213,0,0,0,0,213,0,0,0,0,175,0,0,0,0,182,0
"0100390","010039000165","1","1",71,"3",167,15,182,NA,1137,344,297,269,227,0,0,1136,1,1137,16,"1",0,0,0,344,0,0,0,0,296,1,0,0,0,269,0,0,0,0,227,0
"0100390","010039000168","1","2",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039000176","1","1",42,"3",127,52,179,NA,652,195,159,157,141,15,18,593,26,652,15.5,"1",0,4,12,171,8,0,3,2,147,7,0,2,2,147,6,0,6,2,128,5
