"NCESSCH","LEAID","TYPE07","STATUS07","ULOCAL07","FTE07","LEVEL07","FRELCH07","REDLCH07","TOTFRL07","MEMBER07","G0907","G1007","G1107","G1207","AM09","AS09","HI09","BL09","WH09","AM10","AS10","HI10","BL10","WH10","AM11","AS11","HI11","BL11","WH11","AM12","AS12","HI12","BL12","WH12","ASIAN","HISP","BLACK","WHITE"
"120015000118","1200150","1","1","21",86,"3",141,30,171,1552,418,411,358,365,1,9,25,28,344,3,6,24,18,349,1,15,23,16,295,0,15,19,18,306,45,91,80,1294
"120015000119","1200150","1","1","21",58,"3",34,10,44,946,170,162,130,67,1,3,6,1,155,2,6,8,4,135,0,7,3,1,116,0,3,1,0,62,19,18,6,468
"120015000127","1200150","1","1","21",92,"3",103,52,155,1528,272,223,229,228,0,6,16,13,229,1,13,9,6,184,0,10,9,11,190,1,10,10,6,194,39,44,36,797
"120015000131","1200150","1","1","21",84,"3",74,46,120,1450,302,339,339,452,2,3,9,4,277,0,9,12,8,298,3,6,12,7,300,0,8,20,8,412,26,53,27,1287
"120015002042","1200150","4","1","41",5,"4",18,1,19,30,8,1,0,0,0,0,2,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2
"120015002052","1200150","4","1","21",6,"4",17,1,18,34,6,6,4,6,0,0,1,3,2,0,0,0,2,4,0,0,1,0,3,0,0,1,1,4,0,3,6,13
"120015002055","1200150","4","1","13",8,"4",38,6,44,96,22,20,13,6,0,0,0,8,14,0,0,2,6,11,0,0,1,4,8,0,0,1,1,4,0,4,19,37
"120015002977","1200150","1","1","21",121,"3",231,119,350,2161,414,360,327,315,1,1,19,20,355,2,4,16,16,312,1,7,19,18,275,2,5,16,11,270,17,70,65,1212
"120015003023","1200150","4","1","21",0,"3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120015003025","1200150","4","1","41",4,"3",0,0,0,34,12,10,3,0,0,0,2,7,3,0,0,3,7,0,0,0,0,3,0,0,0,0,0,0,0,5,17,3
"120015003026","1200150","2","1","21",2,"4",0,0,0,37,10,7,1,5,0,0,0,4,6,0,0,0,3,4,0,0,0,0,1,0,0,0,1,4,0,0,8,15
"120015003149","1200150","4","1","21",1,"3",4,2,6,9,4,2,1,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,5
"120015003292","1200150","4","1","41",NA,"4",11,2,13,20,5,5,1,0,0,0,0,0,4,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,8
"120015003293","1200150","1","1","41",142,"3",657,224,881,2752,804,759,623,566,1,9,114,195,452,6,9,104,178,432,0,5,104,157,336,1,8,81,121,334,31,403,651,1554
"120015003296","1200150","1","1","13",58,"3",26,22,48,955,169,156,149,130,1,6,16,5,129,0,9,14,4,124,0,9,13,2,121,0,8,5,9,106,32,48,20,480
"120015003678","1200150","4","1","12",NA,"4",97,17,114,144,18,20,14,12,0,0,0,7,10,0,1,0,6,13,0,0,1,1,12,0,0,2,3,7,1,3,17,42
"120015004059","1200150","2","1","13",NA,"4",36,8,44,62,15,3,4,0,0,0,0,8,6,0,0,0,2,1,0,0,0,0,4,0,0,0,0,0,0,0,10,11
"120015004060","1200150","2","1","21",NA,"4",65,14,79,119,22,16,10,9,0,0,0,3,19,0,0,2,3,10,0,0,0,5,4,0,0,2,2,5,0,4,13,38
"120015004244","1200150","1","1","41",76,"3",51,22,73,1424,521,517,385,1,0,13,47,22,415,2,15,34,31,409,0,18,34,22,296,0,0,0,1,0,46,115,76,1120
"120018000153","1200180","1","1","21",137,"3",947,241,1188,2261,601,592,589,479,1,12,208,185,180,3,12,173,173,220,2,8,215,130,219,1,6,137,157,170,38,733,645,789
"120018000157","1200180","1","1","12",112,"3",964,198,1162,1806,565,455,410,376,0,11,100,384,58,0,8,94,288,52,1,18,94,255,36,0,23,60,240,47,60,348,1167,193
"120018000160","1200180","1","1","21",121.5,"3",876,267,1143,2414,649,682,534,549,1,23,303,162,141,2,21,300,178,159,1,31,216,138,141,1,12,248,142,140,87,1067,620,581
"120018000168","1200180","1","1","12",114.5,"3",1075,167,1242,2025,613,518,477,417,1,6,76,492,32,0,5,46,428,22,1,5,29,425,16,1,5,31,350,24,21,182,1695,94
"120018000169","1200180","1","1","12",131,"3",1136,195,1331,1981,669,456,449,407,0,0,23,614,23,0,2,14,406,25,2,3,28,380,33,0,7,18,358,23,12,83,1758,104
"120018000171","1200180","1","1","21",95.5,"3",820,184,1004,1498,468,405,335,290,1,2,137,285,36,1,1,112,254,31,0,2,86,214,28,3,4,83,176,21,9,418,929,116
"120018000188","1200180","4","1","12",43.5,"4",224,11,235,331,51,47,44,37,0,0,5,45,1,0,1,5,40,0,0,0,3,38,1,0,0,6,30,0,1,19,153,2
"120018000209","1200180","2","1","13",28,"4",71,10,81,130,10,17,8,43,0,0,2,6,2,0,0,5,7,5,0,0,2,3,3,0,0,7,21,15,0,16,37,25
"120018000217","1200180","1","1","12",101.5,"3",720,151,871,1748,605,424,330,389,2,9,51,414,116,0,4,49,261,99,0,5,38,204,77,2,8,38,245,87,26,176,1124,379
"120018000219","1200180","2","1","21",24,"4",55,8,63,82,8,10,7,35,0,0,0,6,2,0,0,1,6,3,0,0,0,5,2,0,0,6,20,9,0,7,37,16
"120018000221","1200180","2","1","21",30.5,"4",98,11,109,189,11,10,7,40,0,0,3,3,5,0,0,1,4,5,0,0,3,1,3,1,3,10,15,10,3,17,23,23
"120018000225","1200180","1","1","21",137,"3",628,204,832,2398,635,573,588,602,1,21,149,188,251,3,31,138,156,230,4,29,121,171,248,1,31,133,161,263,112,541,676,992
"120018000231","1200180","1","1","21",120,"3",718,231,949,2093,664,542,476,411,2,10,232,177,232,1,7,171,148,210,0,8,137,138,185,1,13,112,114,166,38,652,577,793
"120018000234","1200180","1","1","21",123.5,"4",479,183,662,2097,522,553,551,471,0,28,96,184,199,0,34,107,231,167,0,27,105,204,203,0,26,87,148,206,115,395,767,775
"120018000241","1200180","1","1","21",152,"3",841,237,1078,2337,615,621,583,518,0,20,104,370,103,0,28,100,361,115,0,22,86,356,107,0,21,90,300,100,91,380,1387,425
"120018000247","1200180","1","1","21",142,"3",771,258,1029,2107,603,592,494,418,1,12,198,136,240,2,16,217,123,227,2,13,173,106,197,2,8,157,66,180,49,745,431,844
"120018000249","1200180","1","1","21",129,"3",1002,241,1243,2416,724,624,562,506,3,18,137,451,104,3,15,130,377,87,0,16,96,358,79,1,17,93,300,88,66,456,1486,358
"120018000251","1200180","1","1","13",122.5,"3",874,188,1062,2312,752,557,511,492,0,28,156,353,201,1,26,90,275,154,0,14,96,277,116,1,15,74,267,130,83,416,1172,601
"120018000252","1200180","1","1","21",138.5,"3",1259,206,1465,2346,747,604,517,478,2,9,31,683,15,0,15,28,545,10,1,12,35,451,15,0,12,28,418,17,48,122,2097,57
"120018000253","1200180","1","1","21",170,"3",1157,387,1544,3215,962,905,725,623,3,29,192,673,41,0,27,167,653,33,2,26,134,515,30,2,19,120,438,35,101,613,2279,139
"120018000264","1200180","1","1","21",155,"3",849,277,1126,2729,758,734,619,618,2,27,156,358,190,1,30,126,385,174,2,18,107,321,155,0,25,123,304,157,100,512,1368,676
"120018000265","1200180","1","1","21",127,"3",149,72,221,2344,621,580,581,562,2,23,127,30,417,3,31,81,32,419,2,28,111,29,401,2,26,85,26,418,108,404,117,1655
"120018000270","1200180","3","1","21",168.5,"3",136,69,205,588,150,145,128,165,0,9,33,44,62,0,7,36,46,53,0,2,37,49,38,0,8,30,68,56,26,136,207,209
"120018000272","1200180","1","1","21",142,"3",821,273,1094,2653,802,736,602,513,0,26,169,355,232,2,19,150,327,214,0,12,122,263,201,3,13,108,214,166,70,549,1159,813
"120018000908","1200180","4","1","21",27,"4",71,8,79,106,27,10,12,4,0,0,5,15,7,0,0,0,7,3,0,0,2,6,4,0,0,1,1,2,0,8,29,16
"120018001356","1200180","2","1","12",29.5,"4",76,14,90,125,24,12,12,12,0,0,4,7,13,0,0,0,3,9,0,0,2,3,7,0,0,0,3,8,0,6,16,37
"120018002048","1200180","3","1","21",135,"3",5,0,5,46,NA,NA,NA,46,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,1,14,19,12,-11,2,7,0
"120018002117","1200180","1","1","21",168,"3",501,191,692,2879,841,742,645,651,2,21,276,161,351,1,30,218,117,347,0,18,160,102,359,3,24,167,97,354,93,821,477,1411
"120018002119","1200180","2","1","12",34.5,"4",144,9,153,197,26,23,15,20,0,0,3,13,10,0,0,2,12,9,0,0,3,8,4,0,0,3,11,6,0,11,44,29
"120018002120","1200180","1","1","21",130.5,"3",238,116,354,2476,650,669,583,574,0,20,170,28,418,0,21,144,28,460,1,12,127,31,403,1,20,111,19,418,73,552,106,1699
"120018002486","1200180","4","1","21",26,"4",125,22,147,218,41,22,18,4,0,1,7,21,12,0,0,5,4,13,0,0,3,6,9,0,0,1,3,0,1,16,34,34
"120018002487","1200180","4","1","21",49,"4",250,29,279,715,105,141,113,155,0,0,22,70,13,0,0,34,98,8,0,2,23,78,10,0,0,39,90,23,2,118,336,54
"120018002488","1200180","4","1","21",165.5,"3",54,43,97,560,143,150,143,124,0,5,52,28,56,1,4,61,22,59,0,7,49,19,66,0,2,38,17,62,18,200,86,243
"120018002593","1200180","4","1","12",23,"4",42,7,49,78,21,15,6,4,0,1,1,12,6,0,0,1,12,2,0,1,1,3,1,0,0,0,2,2,2,3,29,11
"120018002721","1200180","1","1","21",159.5,"3",178,72,250,3090,808,831,748,703,0,45,117,86,547,1,51,118,75,563,1,37,96,65,540,2,40,99,62,493,173,430,288,2143
"120018002801","1200180","2","1","21",41,"4",70,7,77,160,45,23,20,19,0,0,5,20,18,0,0,5,5,13,1,0,6,3,10,0,0,2,3,13,0,18,31,54
"120018003027","1200180","4","1","12",93,"4",321,24,345,726,292,158,85,70,0,0,6,281,5,0,1,2,152,3,0,0,4,77,3,0,0,3,67,0,1,15,577,11
"120018003029","1200180","1","1","41",149,"3",577,283,860,3171,896,758,742,775,1,45,385,211,225,0,45,273,195,219,0,41,292,185,203,0,43,300,181,237,174,1250,772,884
"120018003301","1200180","1","1","12",61.5,"3",244,134,378,1259,341,299,337,282,0,11,67,69,180,1,13,33,76,166,0,12,47,97,177,0,5,46,59,169,41,193,301,692
"120018003313","1200180","1","1","12",NA,"4",0,0,0,55,NA,NA,NA,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,1,1,2,-12,-11,-11,-10
"120018003320","1200180","4","1","12",NA,"4",80,0,80,83,41,8,1,2,0,0,5,26,10,0,0,0,6,2,0,0,0,1,0,0,0,0,2,0,0,5,35,12
"120018003321","1200180","4","1","12",NA,"3",18,0,18,21,10,5,4,0,0,0,2,8,0,0,0,0,4,1,0,0,0,4,0,0,0,0,0,0,0,2,16,1
"120018003324","1200180","4","1","21",NA,"4",75,0,75,78,31,16,5,1,0,0,1,25,4,0,0,6,7,3,0,0,0,4,1,0,0,0,1,0,0,7,37,8
"120018003543","1200180","4","1","12",68.5,"4",441,35,476,743,80,117,118,104,0,0,15,53,11,0,2,30,67,16,0,1,25,68,23,0,3,16,61,22,6,86,249,72
"120018003545","1200180","1","1","21",NA,"4",238,119,357,1633,225,234,206,182,1,11,55,24,129,0,11,57,32,127,0,5,50,25,121,1,2,48,27,102,29,210,108,479
"120018003547","1200180","4","1","21",NA,"4",69,0,69,72,24,10,3,0,0,0,7,13,4,0,0,3,3,3,0,0,0,1,2,0,0,0,0,0,0,10,17,9
"120018003684","1200180","1","1","21",10.5,"3",23,25,48,311,0,0,172,139,0,0,0,0,0,0,0,0,0,0,0,16,42,38,69,0,8,32,23,74,24,74,61,143
"120018003689","1200180","1","1","21",NA,"3",162,46,208,500,181,107,118,94,1,1,9,163,5,0,1,2,99,3,0,0,9,107,0,0,0,3,91,0,2,23,460,8
"120018003815","1200180","1","1","41",271,"3",315,207,522,5492,1412,1441,1382,1257,0,53,630,77,613,1,58,623,65,664,0,36,622,70,625,3,51,563,63,560,198,2438,275,2462
"120018003823","1200180","1","1","21",NA,"3",64,42,106,594,205,161,115,113,0,4,115,45,37,0,3,95,29,27,0,6,62,26,20,1,2,56,38,14,15,328,138,98
"120018003826","1200180","4","1","21",NA,"4",117,0,117,120,52,26,11,2,0,0,8,30,13,0,0,3,15,8,0,0,2,3,6,0,0,0,0,2,0,13,48,29
