"LEAID","NCESSCH","TYPE01","STATUS01","FTE01","LEVEL01","FRELCH01","REDLCH01","TOTFRL01","MIGRNT01","MEMBER01","G0901","G1001","G1101","G1201","ASIAN01","HISP01","BLACK01","WHITE01","TOTETH01","PUPTCH01","LOCALE","AM09","AS09","HI09","BL09","WH09","AM10","AS10","HI10","BL10","WH10","AM11","AS11","HI11","BL11","WH11","AM12","AS12","HI12","BL12","WH12"
"0622710","062271008890","2","1",18,"4",104,16,120,0,154,0,0,0,0,16,119,8,10,154,8.6,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0622710","062271009150","1","1",65.8,"3",480,53,533,3,1644,524,473,373,274,30,394,1204,8,1644,25,"3",2,5,144,372,1,4,3,119,345,2,1,7,73,288,4,1,15,58,199,1
"0622710","062271009151","1","1",71.4,"4",531,150,681,0,1741,214,201,183,182,268,606,148,709,1741,24.4,"1",0,39,71,24,80,1,29,71,18,82,0,28,61,12,82,3,23,62,14,80
"0622710","062271009569","4","1",12.7,"3",188,37,225,0,312,82,76,84,70,2,155,154,0,312,24.6,"3",0,0,41,41,0,1,1,36,38,0,0,1,39,44,0,0,0,39,31,0
"0622710","062271009570","4","1",63.2,"3",0,0,0,0,2544,1161,803,370,180,51,1902,396,193,2544,40.3,"1",1,16,947,131,66,1,18,610,112,62,0,12,241,70,47,0,5,86,78,11
"0622710","062271010240","1","1",70.8,"3",1205,192,1397,8,1725,496,458,385,386,420,880,65,360,1725,24.4,"1",0,91,267,21,117,0,109,251,15,83,0,106,186,12,81,0,114,176,17,79
"0628050","062805004244","2","1",8,"4",6,2,8,0,23,3,3,5,11,6,5,10,2,23,2.9,"1",0,1,0,2,0,0,1,1,1,0,0,3,1,1,0,0,1,2,6,2
"0628050","062805004247","1","1",77.4,"3",626,47,673,9,1768,786,498,305,179,115,654,986,8,1764,22.8,"1",1,51,293,435,4,0,30,182,283,1,0,22,109,171,3,0,12,70,97,0
"0628050","062805004255","4","1",13,"3",116,8,124,0,288,80,61,24,32,39,49,195,3,287,22.2,"1",0,14,9,56,1,0,12,4,45,0,0,4,1,19,0,1,3,4,24,0
"0628050","062805004262","1","1",86.6,"3",639,53,692,48,1720,611,513,365,231,345,809,527,25,1709,19.9,"1",3,125,297,183,2,0,92,231,167,16,0,64,180,114,5,0,64,101,63,2
