"NCESSCH","LEAID","TYPE","STATUS","ULOCAL","FTE","LEVEL","FRELCH","REDLCH","TOTFRL","MEMBER","G09","G10","G11","G12","AM09","AS09","HI09","BL09","WH09","HP09","TR09","AM10","AS10","HI10","BL10","WH10","HP10","TR10","AM11","AS11","HI11","BL11","WH11","HP11","TR11","AM12","AS12","HI12","BL12","WH12","HP12","TR12","ASIAN","HISP","BLACK","WHITE"
"010039000073","0100390","3","1","12",0,"3",NA,NA,NA,NA,NA,NA,NA,NA,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-16,-16,-16,-16
"010039000138","0100390","4","1","12",0,"3",NA,NA,NA,NA,NA,NA,NA,NA,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-16,-16,-16,-16
"010039000141","0100390","1","1","12",72.9,"3",686,97,783,1184,383,290,242,269,0,2,5,368,7,0,1,0,1,7,277,5,0,0,0,0,2,237,3,0,0,0,0,4,260,5,0,0,3,18,1142,20
"010039000164","0100390","1","1","12",84,"3",919,72,991,1364,447,358,244,315,0,0,0,447,0,0,0,0,0,4,351,3,0,0,0,0,4,239,1,0,0,0,0,1,313,1,0,0,0,9,1350,5
"010039000165","0100390","1","1","12",59.5,"3",529,52,581,871,295,177,190,209,0,0,1,290,3,0,1,0,0,1,176,0,0,0,0,0,0,189,1,0,0,0,0,0,209,0,0,0,0,2,864,4
"010039000176","0100390","1","1","12",42.5,"3",314,85,399,738,158,224,203,153,0,1,0,154,3,0,0,0,1,2,218,3,0,0,0,0,1,201,1,0,0,0,0,0,153,0,0,0,2,3,726,7
"010039000192","0100390","1","1","12",63,"3",636,49,685,982,283,231,250,218,0,0,0,280,2,0,1,0,0,0,231,0,0,0,0,0,0,249,1,0,0,0,0,1,216,1,0,0,0,1,976,4
"010039000194","0100390","1","1","12",0,"3",NA,NA,NA,NA,NA,NA,NA,NA,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-16,-16,-16,-16
"010039000198","0100390","1","1","12",60.6,"3",825,42,867,1085,325,320,245,195,0,0,11,310,4,0,0,0,0,11,305,3,0,1,0,1,4,239,1,0,0,0,0,4,187,3,0,1,1,30,1041,11
"010039001281","0100390","4","1","12",0,"3",NA,NA,NA,NA,NA,NA,NA,NA,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-16,-16,-16,-16
