        Common Core of Data Public Education Agency Universe 1997-98
                                (LRECL=1030)

             (*) Fields have one implied decimal place.

	     (+) Fields represent sub-fields of the fields immediately 
	      preceding them.  (These sub-fields may not be present 
	      as fields in the SAS data files.)
                                    
**Please Note: "FIPS" stands for Federal Information Processing Standard (see State Codes
  and Abbreviations in the General Documentation)

The file contains data for school year 1997-98 sorted by the NCES assigned local
education agency identification code (LEAID).

Variable     Field	Record	     Data
 name	     length	position     type	Description

DBL9M97		5	447-451		N	DROPOUTS (BLACK-9TH-MALE)
DBL9F97		5	452-456		N	DROPOUTS (BLACK-9TH-FEMALE)
DBL9U97		5	457-461		N	DROPOUTS (BLACK-9TH-UNKNOWN)
DWH9M97		5	462-466		N	DROPOUTS (WHITE-9TH-MALE)
DWH9F97		5	467-471		N	DROPOUTS (WHITE-9TH-FEMALE)
DWH9U97		5	472-476		N	DROPOUTS (WHITE-9TH-UNKNOWN)
DUK9M97		5	477-481		N	DROPOUTS (UNKNOWN-9TH-MALE)
DUK9F97		5	482-486		N	DROPOUTS (UNKNOWN-9TH-FEMALE)
DUK9U97		5	487-491		N	DROPOUTS (UNKNOWN-9TH-UNKNOWN)
DAM10M97	5	492-496		N	DROPOUTS (AMER IND/ALAS NAT-10TH-MALE)
DAM10F97	5	497-501		N	DROPOUTS (AMER IND/ALAS NAT-10TH-FEMALE)
DAM10U97	5	502-506		N	DROPOUTS (AMER IND/ALAS NAT-10TH-UNK)
DAS10M97	5	507-511		N	DROPOUTS (ASIAN/PAC ISL-10TH-MALE)
DAS10F97	5	512-516		N	DROPOUTS (ASIAN/PAC ISL-10TH-FEMALE)
DAS10U97	5	517-521		N	DROPOUTS (ASIAN/PAC ISL-10TH-UNKNOWN)
DHI10M97	5	522-526		N	DROPOUTS (HISPANIC-10TH-MALE)
DHI10F97	5	527-531		N	DROPOUTS (HISPANIC-10TH-FEMALE)
DHI10U97	5	532-536		N	DROPOUTS (HISPANIC-10TH-UNKNOWN)
DBL10M97	5	537-541		N	DROPOUTS (BLACK-10TH-MALE)
DBL10F97	5	542-546		N	DROPOUTS (BLACK-10TH-FEMALE)
DBL10U97	5	547-551		N	DROPOUTS (BLACK-10TH-UNKNOWN)
DWH10M97	5	552-556		N	DROPOUTS (WHITE-10TH-MALE)
DWH10F97	5	557-561		N	DROPOUTS (WHITE-10TH-FEMALE)
DWH10U97	5	562-566		N	DROPOUTS (WHITE-10TH-UNKNOWN)
DUK10M97	5	567-571		N	DROPOUTS (UNKNOWN-10TH-MALE)
DUK10F97	5	572-576		N	DROPOUTS (UNKNOWN-10TH-FEMALE)
DUK10U97	5	577-581		N	DROPOUTS (UNKNOWN-10TH-UNKNOWN)
DAM11M97	5	582-586		N	DROPOUTS (AMER IND/ALAS NAT-11TH-MALE)
DAM11F97	5	587-591		N	DROPOUTS (AMER IND/ALAS NAT-11TH-FEMALE)
DAM11U97	5	592-596		N	DROPOUTS (AMER IND/ALAS NAT-11TH-UNK)
DAS11M97	5	597-601		N	DROPOUTS (ASIAN/PAC ISL-11TH-MALE)
DAS11F97	5	602-606		N	DROPOUTS (ASIAN/PAC ISL-11TH-FEMALE)
DAS11U97	5	607-611		N	DROPOUTS (ASIAN/PAC ISL-11TH-UNKNOWN)
DHI11M97	5	612-616		N	DROPOUTS (HISPANIC-11TH-MALE)
DHI11F97	5	617-621		N	DROPOUTS (HISPANIC-11TH-FEMALE)
DHI11U97	5	622-626		N	DROPOUTS (HISPANIC-11TH-UNKNOWN)
DBL11M97	5	627-631		N	DROPOUTS (BLACK-11TH-MALE)
DBL11F97	5	632-636		N	DROPOUTS (BLACK-11TH-FEMALE)
DBL11U97	5	637-641		N	DROPOUTS (BLACK-11TH-UNKNOWN)
DWH11M97	5	642-646		N	DROPOUTS (WHITE-11TH-MALE)
DWH11F97	5	647-651		N	DROPOUTS (WHITE-11TH-FEMALE)
DWH11U97	5	652-656		N	DROPOUTS (WHITE-11TH-UNKNOWN)
DUK11M97	5	657-661		N	DROPOUTS (UNKNOWN-11TH-MALE)
DUK11F97	5	662-666		N	DROPOUTS (UNKNOWN-11TH-FEMALE)
DUK11U97	5	667-671		N	DROPOUTS (UNKNOWN-11TH-UNKNOWN)
DAM12M97	5	672-676		N	DROPOUTS (AMER IND/ALAS NAT-12TH-MALE)
DAM12F97	5	677-681		N	DROPOUTS (AMER IND/ALAS NAT-12TH-FEMALE)
DAM12U97	5	682-686		N	DROPOUTS (AMER IND/ALAS NAT-12TH-UNK)
DAS12M97	5	687-691		N	DROPOUTS (ASIAN/PAC ISL-12TH-MALE)
DAS12F97	5	692-696		N	DROPOUTS (ASIAN/PAC ISL-12TH-FEMALE)
DAS12U97	5	697-701		N	DROPOUTS (ASIAN/PAC ISL-12TH-UNKNOWN)
DHI12M97	5	702-706		N	DROPOUTS (HISPANIC-12TH-MALE)
DHI12F97	5	707-711		N	DROPOUTS (HISPANIC-12TH-FEMALE)
DHI12U97	5	712-716		N	DROPOUTS (HISPANIC-12TH-UNKNOWN)
DBL12M97	5	717-721		N	DROPOUTS (BLACK-12TH-MALE)
DBL12F97	5	722-726		N	DROPOUTS (BLACK-12TH-FEMALE)
DBL12U97	5	727-731		N	DROPOUTS (BLACK-12TH-UNKNOWN)
DWH12M97	5	732-736		N	DROPOUTS (WHITE-12TH-MALE)
